x_pos,y_pos,yaw
0,0,0
-0.00101563,0.00762267,-0.0031074
0.000417079,0.0281056,-0.0128364
0.0062066,0.00939651,-0.00814023
0.00564521,0.0106213,-0.00546581
0.00877207,0.00802549,-0.00606383
0.00403504,0.00982072,-0.00704039
0.00752431,0.00273164,-0.0018729
0.0120895,-0.000655826,-0.00264494
0.00623758,0.00464562,-0.00531937
0.014347,-0.0126189,0.00575617
0.0079226,-0.0103498,0.00717974
0.00903942,-0.00301725,0.00535276
0.00879211,-0.00838736,0.00649788
0.00954387,-0.0194657,0.00778976
0.00994065,-0.013938,0.00659372
0.0158538,-0.0217654,0.0102313
0.0243368,-0.0190911,0.00613151
0.0262326,-0.022181,0.00921967
0.029442,-0.0287427,0.0127407
0.0322243,-0.026063,0.0104246
0.024242,-0.0286539,0.0128903
0.0264314,-0.0231915,0.00829682
0.0252109,-0.0299345,0.01148
0.0264414,-0.0296027,0.01148
0.0243253,-0.0267129,0.00784241
0.0305042,-0.0300497,0.0107721
0.0311233,-0.0258781,0.00888099
0.031565,-0.0285126,0.00810895
0.0251446,-0.0307134,0.00641749
0.0304538,-0.0169948,0.00214677
0.0230173,-0.0252399,0.00473052
0.0240773,-0.0180345,0.00151008
0.0252882,-0.0197537,-0.000316904
0.0290876,-0.0203008,0.00186676
0.0262958,-0.033558,0.00246478
0.0253821,-0.019228,-0.00218032
0.024365,-0.0356027,0.00595365
0.0251792,-0.0274689,0.00275178
0.0318268,-0.0440103,0.00966576
0.0275951,-0.045198,0.010154
0.0274393,-0.0318418,0.00332681
0.0242929,-0.0274652,0.000376849
0.0352312,-0.0263888,-0.000395191
0.022771,-0.0277652,-0.000395191
0.0280532,-0.0308866,-4.9924e-05
0.0317546,-0.00837118,-0.00602016
0.0219687,-0.0177888,-0.00110085
0.02535,-0.0233726,-0.00248192
0.0303856,-0.0242453,-0.000468687
0.0336179,-0.0233407,-0.00106671
0.0361615,-0.0112548,-0.00424991
0.0357316,-0.0275074,0.000632904
0.02687,-0.0331502,0.00264614
0.0307715,-0.0375051,0.00406971
0.0306601,-0.0378776,-0.000445243
0.030213,-0.0349473,0.00138174
0.0269309,-0.0353725,0.00241754
0.0311605,-0.0243727,0.00207227
0.0286372,-0.0288229,-0.00062435
0.0261211,-0.0255621,0.000352212
0.0275205,-0.0244617,0.00119794
0.0192173,-0.0149063,-0.00316938
0.0180038,-0.0136104,-0.00607866
0.0185238,-0.0119716,-0.00607866
0.0133583,-0.0186082,-0.00982922
0.0274812,-0.0327981,0.000278365
0.0260408,-0.0368994,0.000876385
0.0241833,-0.0240838,-0.000100177
0.0211712,-0.0150472,-0.00179163
0.0070371,-0.0181733,-0.00990359
