x_pos,y_pos,yaw
0,0,0
-0.00168842,-0.011939,0.00318321
-0.00688919,0.0125091,-0.0110903
-0.0053872,0.0105324,-0.00653588
-0.00885184,0.0172712,-0.00921031
-0.000924648,0.00627573,-0.00165376
0.0090097,-0.0013803,-0.00130849
0.00303392,0.00461191,-0.00362461
-0.000935695,0.00411273,-0.00482065
0.00113532,0.0206567,-0.0115423
-0.00203503,0.0166842,-0.00996008
-0.00713871,0.0206232,-0.0157168
-0.0108374,0.00922175,-0.0129119
-0.0167213,0.0037734,-0.00691177
-0.0122608,0.0140341,-0.00956381
-0.0198975,0.00773687,-0.0125539
-0.0165684,-0.00421609,-0.00889995
-0.0252957,0.00636677,-0.0109716
-0.0264427,0.0126988,-0.0146092
-0.0215013,0.00439181,-0.0115599
-0.0158137,0.00488656,-0.0142119
-0.0207649,-0.000961414,-0.00860197
-0.0177913,-0.00391861,-0.00860197
-0.0192268,-0.00313209,-0.00768848
-0.0204792,-0.00469765,-0.0114707
-0.0237571,0.00245653,-0.0167972
-0.0256566,-0.00738372,-0.0110405
-0.0316404,-0.00602951,-0.00970324
-0.0331436,0.00425607,-0.0138464
-0.0330149,-0.00468559,-0.0124229
-0.0341591,0.00183435,-0.0127681
-0.0352705,-0.0139089,-0.00975818
-0.0353138,-0.0304069,-0.00975818
-0.0316881,-0.0315456,-0.0106039
-0.0325262,-0.0296363,-0.0102586
-0.0337805,-0.0283681,-0.011985
-0.0261159,-0.0314091,-0.00638567
-0.0258119,-0.0366156,-0.00443255
-0.0294134,-0.0350721,-0.00546835
-0.028424,-0.032461,-0.00905647
-0.0286117,-0.0271332,-0.0115701
-0.0233765,-0.0492525,0.000365472
-0.0218514,-0.0539646,0.00325418
-0.0262112,-0.0480719,-0.00445852
-0.031218,-0.0378339,-0.00949753
-0.0270091,-0.0304009,-0.010411
-0.0242287,-0.0313269,-0.0125947
-0.0303902,-0.0350037,-0.0040602
-0.0239275,-0.0255299,-0.0097545
-0.022649,-0.029029,-0.00890877
-0.0162087,-0.0453845,-0.00226741
-0.0205524,-0.0399698,-0.00568538
-0.0222584,-0.0341554,-0.00734123
-0.0226924,-0.0353128,-0.00932463
-0.0206538,-0.0458318,-0.00308111
-0.0160861,-0.0504893,-0.0039946
-0.0177401,-0.0338209,-0.00802108
-0.0198575,-0.0371566,-0.00802108
-0.0187781,-0.0388687,-0.00525894
-0.0171776,-0.0582897,0.00336585
-0.0135905,-0.0617427,-0.000271762
-0.0182145,-0.0589458,-0.000271762
-0.0257397,-0.0617275,0.00131045
-0.0189989,-0.0540726,0.00179873
-0.0248594,-0.0433879,-0.00383241
-0.0166219,-0.0383028,-0.00648446
-0.0223944,-0.0299384,-0.00494038
-0.0240515,-0.0228518,-0.0107998
-0.020887,-0.0377384,-0.0026001
-0.0205359,-0.027482,-0.00589374
-0.022081,-0.0261434,-0.00589374
-0.0200238,-0.0158936,-0.0140716
-0.0132178,-0.0286665,-0.0105336
-0.020474,-0.0308916,-0.00684718
-0.0207968,-0.0462929,-0.00395847
-0.0215892,-0.0263084,-0.0107682
-0.0199775,-0.0334596,-0.00783852
-0.0190081,-0.0307421,-0.00963258
-0.0181995,-0.0386507,-0.00591394
-0.0316231,-0.0310859,-0.00556867
-0.0172574,-0.035834,-0.00442355
-0.0157682,-0.0462229,-0.00159742
-0.0163841,-0.0447539,-0.00263322
-0.00256622,-0.0421113,-0.0014881
-0.0121867,-0.0461505,0.00293348
-0.00689133,-0.0440415,-0.0015417
-0.0111922,-0.0550321,0.00233392
-0.0112545,-0.0557998,-0.00368603
-0.0117584,-0.0653734,-0.00161442
-0.0128066,-0.0598213,-0.00299549
-0.00776076,-0.0598078,0.00146634
-0.0115267,-0.0397499,-0.0064372
-0.0160402,-0.0441528,-0.00741376
-0.014088,-0.0550517,-0.00832725
-0.0182857,-0.0537315,-0.0115105
-0.0167677,-0.0499263,-0.0123562
-0.00163074,-0.0530663,-0.0056612
-0.00884038,-0.0557155,-0.00635173
-0.0108637,-0.0475919,-0.00971698
-0.00716573,-0.0391802,-0.0129925
-0.0243808,-0.0515401,-0.00372795
-0.0185999,-0.0685157,0.000787002
-0.0150498,-0.0646555,0.00155904
-0.0110979,-0.0557619,-0.000678544
-0.00878037,-0.0495722,-0.000678544
-0.0140062,-0.0464164,0.0007863
-0.0149705,-0.0417627,-0.00471636
-0.0190949,-0.0485794,-0.00121228
-0.0135764,-0.0467789,-0.00250415
-0.0147337,-0.0476139,-0.000848307
-0.0141468,-0.0478651,-0.00182487
-0.0102509,-0.0515366,0.00407506
-0.00472191,-0.052894,0.00322934
-0.0109706,-0.056375,0.00198446
-0.01667,-0.0556237,0.00198446
-0.0167449,-0.0477813,0.000440377
-0.0115745,-0.0634421,0.00662635
-0.0127171,-0.0613056,0.00753984
-0.00682671,-0.0589529,0.0067678
-0.00461126,-0.0705161,0.0152039
-0.00148197,-0.0701397,0.0137804
-0.00318771,-0.0732632,0.0134351
-0.0101816,-0.0517064,0.00583136
0.000457433,-0.0496245,0.00387824
-0.00239669,-0.0500912,0.00211772
-0.00122941,-0.0575674,0.00516703
-0.00103826,-0.0604563,0.00821635
-0.00449012,-0.0591973,0.0102296
-0.00831349,-0.0431557,0.00223606
-0.00352032,-0.0407522,-0.000793651
-0.0117114,-0.0314955,-0.00583266
-0.0133781,-0.0496455,0.00143438
-0.00229531,-0.0592481,0.00459881
-0.00571181,-0.0635731,0.00508709
-0.00694085,-0.054607,0.0017396
-0.0143572,-0.0615653,0.00408132
-0.010954,-0.0678601,0.0062921
-0.0161922,-0.0569201,0.000301936
-0.016911,-0.0451365,-0.00138952
-0.0161438,-0.0546486,0.00192217
-0.0133748,-0.0585894,0.000677288
-0.0107498,-0.0668194,0.00784523
-0.0171284,-0.050138,-0.000118415
-0.0213109,-0.0576325,0.00315708
-0.0224547,-0.0494993,0.00435312
-0.022885,-0.0352991,-0.0016866
-0.0233279,-0.0251064,-0.0055002
-0.024874,-0.0250909,-0.00696504
-0.0261092,-0.0204711,-0.00943074
-0.0292091,-0.035741,-0.00351064
-0.0192356,-0.020423,-0.00766821
-0.0163762,-0.0314792,-0.00335582
-0.0137436,-0.0384758,-0.00093895
-0.00791444,-0.0259706,-0.00974159
-0.00210513,-0.0336118,-0.0100869
-0.00849627,-0.038762,-0.00917337
-0.00997022,-0.0386243,-0.00832764
-0.00848145,-0.0449087,-0.00558717
-0.00186327,-0.0449984,-0.00558717
-0.00571361,-0.0252549,-0.0111865
-0.0041606,-0.0220554,-0.00894888
-0.015867,-0.0155873,-0.00894888
0.00133809,-0.028646,-0.00625226
-0.00642544,-0.0227047,-0.00967023
-0.00218414,-0.0290867,-0.00271328
-0.0034064,-0.0406717,-0.00124843
-0.00914712,-0.0380185,-0.00193897
-0.00583916,-0.04353,0.000351275
-0.00340222,-0.0241885,-0.00451932
-0.00534673,-0.0221317,-0.00486459
-0.00777756,-0.0208936,-0.00426657
-0.00621927,-0.0322231,4.15262e-06
-0.0138056,-0.00366891,-0.00899934
-0.0157133,-0.00207234,-0.0123823
-0.00970198,-0.00435124,-0.0106559
-0.0128646,0.00224305,-0.0132854
-0.0163801,-0.016048,-0.00869191
-0.0113481,0.00136712,-0.0146019
-0.0120608,0.00627227,-0.015983
-0.0121492,0.0154263,-0.0223681
-0.0112233,0.00412564,-0.0160299
-0.0154832,0.00282064,-0.0163751
-0.00531238,-0.019689,-0.0143325
-0.00844834,-0.012406,-0.0184757
-0.0148288,-0.000115028,-0.0261107
-0.0261068,0.0095373,-0.0322094
-0.0175523,-0.00778334,-0.0211338
-0.0174938,-0.0111925,-0.0182246
-0.0207274,-0.0257404,-0.0115296
-0.0304263,-0.00613911,-0.0188212
-0.0269712,-0.0272147,-0.0159119
-0.0227236,-0.0350294,-0.0103339
-0.0290027,-0.0307853,-0.0114258
-0.0261295,-0.0364671,-0.01058
-0.021206,-0.0296039,-0.0164901
-0.0122249,-0.0277804,-0.0132882
-0.0192429,-0.031381,-0.0129429
-0.0136348,-0.03549,-0.0129429
-0.0212276,-0.0167026,-0.0223289
-0.0170576,-0.030793,-0.0172781
-0.0151245,-0.0272622,-0.0146714
-0.022529,-0.0477422,-0.0105138
-0.0145315,-0.0418974,-0.00786174
-0.0195901,-0.0378595,-0.013266
-0.0174897,-0.0461947,-0.00837102
-0.0162356,-0.0495196,-0.00837102
-0.0134381,-0.0446751,-0.0103843
-0.0224197,-0.0305733,-0.0103843
-0.0161588,-0.0312067,-0.00840084
-0.0255702,-0.0184266,-0.0133201
-0.0217853,-0.0180364,-0.0124744
-0.0233878,-0.021117,-0.0124744
-0.0217157,-0.0143706,-0.0213109
-0.0232868,-0.0115835,-0.0138976
-0.0155983,-0.0197457,-0.0183461
-0.0180637,-0.0333555,-0.0143943
-0.0177084,-0.0370553,-0.011345
-0.0147722,-0.0415016,-0.00942265
-0.0121878,-0.0252818,-0.0169871
-0.0155249,-0.0333812,-0.00972825
-0.0145599,-0.0324314,-0.0100735
-0.0120215,-0.0384152,-0.00484868
-0.0150719,-0.0381719,-0.00711274
-0.0108295,-0.0467773,-0.00542129
-0.0151195,-0.0380168,-0.00781337
-0.0148698,-0.0436058,-0.0105755
-0.00838381,-0.0350994,-0.019936
-0.0108146,-0.0155783,-0.0266399
-0.0105937,-0.0138913,-0.0284513
-0.0201518,-0.00527223,-0.0339755
-0.0164105,-0.0114584,-0.03083
-0.0183146,-0.00346616,-0.0341055
-0.0185035,0.00441391,-0.0353974
-0.0173679,0.000711695,-0.0372885
-0.0141804,0.00353326,-0.033717
-0.0119616,-0.0107488,-0.0266785
-0.0127932,-0.0148309,-0.025702
-0.00298201,-0.00675622,-0.0267378
-0.00600754,-0.0209029,-0.0237081
-0.00481506,-0.0140544,-0.0262686
-0.0149075,-0.00732437,-0.0273605
-0.00840244,-0.001731,-0.0316623
-0.0134833,-0.0119515,-0.0296197
-0.0144197,0.0202584,-0.0378266
-0.0165001,0.00650348,-0.0324889
-0.0158665,0.0120285,-0.0380347
-0.018491,0.00577806,-0.0327871
-0.0113603,-0.0033997,-0.0313635
-0.0215311,-0.0108934,-0.0284955
-0.0183273,-0.0158453,-0.024745
-0.0235643,0.0077527,-0.0364473
-0.0240774,0.00430447,-0.0345879
-0.0174108,-0.00274349,-0.0315582
-0.021362,-0.000744619,-0.0296359
-0.0144887,0.00493773,-0.032483
-0.0186827,-0.0135445,-0.0251263
-0.0161543,-0.0105902,-0.0214887
-0.0139057,-0.0175799,-0.0203969
-0.0165952,-0.0366797,-0.0155018
-0.0234556,-0.0322638,-0.014354
-0.01526,-0.0262804,-0.0187213
-0.022397,-0.0314399,-0.0110086
-0.0244859,-0.0329801,-0.00924809
-0.0162377,-0.0366434,-0.0101616
-0.0206957,-0.0324681,-0.0122618
-0.0254699,-0.0171589,-0.0195206
-0.0191407,-0.0214639,-0.0169834
-0.0237748,-0.0142817,-0.0173287
-0.0245144,-0.00256987,-0.0190892
-0.036723,-0.025251,-0.0113997
-0.0350558,-0.0296061,-0.0144685
-0.0261816,-0.0267246,-0.0163909
-0.031434,-0.00863046,-0.0194791
-0.0350777,-0.0220538,-0.0175567
-0.0339279,0.00487741,-0.027909
-0.0301482,-0.00961475,-0.0218791
-0.0324159,-0.00827849,-0.0233841
-0.0253351,0.0073155,-0.0241562
-0.0316523,0.00565587,-0.0233841
-0.02011,-0.0153088,-0.0137058
-0.012194,-0.00432169,-0.0186613
-0.0163282,-0.014108,-0.0180633
-0.0182441,-0.00976772,-0.0137371
-0.00679081,-0.0151002,-0.0103719
-0.0109013,0.00509007,-0.0204381
-0.0143849,-0.0101449,-0.0197476
-0.00392448,-0.0121611,-0.0188341
-0.00750576,-0.0151482,-0.0156885
0.00312147,0.00037002,-0.0204477
-0.00939721,0.0033418,-0.0277545
-0.00670963,0.0155251,-0.0301959
-0.0063421,0.00993178,-0.0284354
-0.00447563,0.00235739,-0.020816
-0.0107863,0.0133283,-0.022321
-0.0135797,0.01092,-0.0261502
-0.0124525,0.0196052,-0.0295506
-0.0091256,-0.00906545,-0.0216518
-0.00398948,0.00381872,-0.0213065
-0.0089578,0.0235833,-0.0293964
-0.00700926,0.0289023,-0.0275053
0.00564165,0.00873773,-0.0159917
0.00202977,0.0176786,-0.0181754
-0.000378831,0.0186635,-0.0190211
-0.00580472,0.0284459,-0.0229426
0.00153774,0.0177024,-0.0184277
-0.000258802,0.0332755,-0.0203188
-0.00227616,0.0209198,-0.0161326
-0.00253787,0.0295756,-0.0204863
0.000297279,0.00754533,-0.0112153
0.00585497,0.0396699,-0.0171455
-0.000930464,0.0387113,-0.0179175
-0.00621004,0.0436064,-0.0226516
-0.00231871,0.0275225,-0.018901
-0.0116838,0.0437297,-0.0316667
3.28132e-05,0.0343102,-0.0238085
-0.00696083,0.0323383,-0.0308591
-0.00433404,0.0380432,-0.0324032
-0.00645051,0.0415649,-0.0340946
-0.0168835,0.0427373,-0.0337493
-0.0140231,0.0242049,-0.0277692
-0.0193847,0.0293225,-0.0306989
-0.0210757,0.0334761,-0.0342704
-0.0134563,0.0335225,-0.0263292
-0.0195452,0.0419774,-0.032705
-0.0167509,0.0207018,-0.0261268
-0.0216112,0.015453,-0.0241136
-0.0209389,0.0290314,-0.0283703
-0.0101869,0.0255598,-0.028025
-0.0114721,0.0168174,-0.0213719
-0.00579897,0.00425711,-0.014415
-0.00991677,-0.00582392,-0.017283
