x_pos,y_pos,yaw
0,0,0
0,0,0
-0.000753005,9.92471e-13,0.0813237
-0.00296483,-2.52696e-07,0.0813225
-0.0011238,-1.03059e-05,-0.825836
-0.000201266,-0.000126838,-1.00722
0.000348651,-0.000112208,-1.11421
-1.77786e-05,-0.00010563,-1.03546
-1.77786e-05,-0.00010563,-1.03546
0.00120588,-0.000111099,-0.732442
-0.00209745,-8.16288e-05,-0.75262
-0.00651986,-2.09355e-05,-0.99954
-0.0050909,-2.75414e-05,-1.0689
-0.00477466,-3.66683e-05,-1.42468
-0.00100133,-8.40849e-05,-1.58888
0.00234931,-0.000158317,-1.47017
-0.00313324,-0.00011595,-1.4056
-0.00703704,-2.95944e-05,-1.25857
-0.00831323,3.23013e-05,-0.977183
-0.00634803,-5.92111e-06,-1.09037
-0.00572642,-1.81361e-05,-1.01097
-0.00304357,-5.84e-05,-1.11138
0.00225483,-0.000158677,-0.963967
0.00897684,-0.000283836,-1.14943
0.00923036,-0.000290203,-1.20447
0.0120961,-0.000344518,-1.08709
0.0161496,-0.000428871,-1.16109
0.0144525,-0.000413334,-1.18961
0.014758,-0.000397852,-1.06962
0.0138511,-0.000382178,-1.23799
0.0146213,-0.000388505,-1.18134
0.0148627,-0.000401562,-0.987119
0.0139762,-0.000384888,-1.28994
0.0142222,-0.000378018,-1.09232
0.0216844,-0.000515431,-0.968238
0.0235325,-0.000549376,-0.95609
0.0167516,-0.000422837,-1.06016
0.0185285,-0.000457018,-1.24757
0.0169309,-0.00041978,-1.27857
0.0197028,-0.000476198,-1.31059
0.0181592,-0.000447444,-1.23241
0.0162288,-0.000404282,-1.36854
0.0182166,-0.000446387,-1.46492
0.0218799,-0.000549059,-1.41274
0.0210683,-0.000525534,-1.57764
0.0215708,-0.000551738,-1.51254
0.020584,-0.000518442,-1.57241
0.0200896,-0.000510072,-1.56418
0.0178158,-0.000456231,-1.59038
0.0170265,-0.000418251,-1.57325
0.0201091,-0.000485089,-1.79049
0.023933,-0.000654739,-1.4573
0.023645,-0.000640387,-1.29852
0.02435,-0.000653468,-1.5092
0.0236535,-0.000645877,-1.42777
0.0236693,-0.000657799,-1.60527
0.0204764,-0.000569046,-1.9417
