x_pos,y_pos,yaw
0,0,0
0.0118142,-0.0100883,-0.00077204
0.00712989,-0.00426597,-0.00596255
0.00622904,-0.0110847,-0.00218033
0.0194215,-0.0181229,0.00172592
0.0114027,-0.0156962,-0.00419419
0.0136298,-0.00435784,-0.00177732
0.020512,-0.0178972,-0.00350365
0.020877,-0.0111741,-0.00909229
0.0189137,-0.0141037,-0.00874703
0.0323212,-0.0088309,-0.00517556
0.0327086,-0.0134266,-0.000428915
0.0254285,0.011491,-0.0124788
0.0251076,0.016779,-0.0107873
0.0244682,0.0124842,-0.00928232
0.0245369,0.019601,-0.0154779
0.0156506,0.0245531,-0.0204694
0.0344628,0.0341062,-0.023763
0.0302451,0.041012,-0.032374
0.0315646,0.044023,-0.0288529
0.0364627,0.035788,-0.0279395
0.0371005,0.0274498,-0.0260801
0.0340863,0.0175502,-0.0242208
0.0374082,0.00573386,-0.0171618
0.0357192,0.0205452,-0.0257381
0.0374523,0.0191681,-0.0226693
0.0479862,0.0193999,-0.022324
0.0384043,0.0194221,-0.022324
0.0411042,0.0230466,-0.0262303
0.0421297,0.0149929,-0.022865
0.04453,0.0145123,-0.0201245
0.0395123,0.0149443,-0.0251872
0.041654,0.0137454,-0.0251872
0.0492229,0.0107902,-0.0190983
0.0461457,0.0211276,-0.0237562
0.0427924,0.0274164,-0.0277975
0.0406958,0.0307686,-0.0327889
0.037238,0.0429305,-0.0315929
0.0441249,0.0404932,-0.0268212
0.0388402,0.0225474,-0.0243314
0.0379402,0.030962,-0.0270719
0.0385608,0.03488,-0.0281637
0.0387417,0.0271127,-0.0306052
0.0429039,0.0365959,-0.0342098
0.0477828,0.0229498,-0.0258233
0.0546014,0.0245634,-0.0297296
0.0470718,0.0108545,-0.018499
0.0418925,0.0298069,-0.0302737
0.0435877,0.0354436,-0.0302737
0.0441236,0.0600375,-0.0377748
0.0437492,0.0629166,-0.0449677
0.0439052,0.0449373,-0.0353806
0.0499802,0.0487674,-0.0372076
0.0399535,0.0491489,-0.0420904
0.0468368,0.056512,-0.0442188
0.0445669,0.0510005,-0.0420351
0.0368631,0.0613973,-0.0420351
0.0439926,0.0390279,-0.0364465
0.0411305,0.0413251,-0.0383058
0.054504,0.0379748,-0.0404895
0.0522033,0.0346522,-0.0381478
0.0553167,0.0422768,-0.0437895
0.0552635,0.0508192,-0.044703
0.0577865,0.0369011,-0.039444
0.0617607,0.033976,-0.0369068
0.0586397,0.0217037,-0.0352874
0.0631052,0.039742,-0.0413958
0.0573032,0.0238296,-0.0330093
0.0629233,0.0281175,-0.0334975
0.0744456,0.0433379,-0.0358393
0.0709021,0.0282765,-0.0316389
0.0653766,0.0473738,-0.0350394
0.071665,0.0452751,-0.030356
0.0674854,0.0561668,-0.0319382
0.0699207,0.0642784,-0.030356
0.0722518,0.0461705,-0.0279145
0.0693179,0.0567356,-0.0340812
0.0663384,0.0498261,-0.032744
0.0681457,0.0513388,-0.0339889
0.0673893,0.0696563,-0.0395132
0.0696994,0.0596425,-0.038368
0.0723606,0.0652102,-0.0396129
0.0682667,0.0617315,-0.0375997
0.0776125,0.07934,-0.0410524
0.0717348,0.0798647,-0.0407071
0.0720225,0.0594053,-0.0299704
0.0846561,0.0371549,-0.0193173
0.0759318,0.0376023,-0.0256931
0.0766884,0.0383933,-0.0237707
0.0711296,0.0246521,-0.0169348
0.0687391,0.0191605,-0.012983
0.0784913,0.0183987,-0.0126377
0.0793004,0.0140491,-0.0108772
0.0662198,0.0211636,-0.0145475
0.0780528,0.0186869,-0.0114593
0.0792319,0.0116654,-0.00950617
0.0778841,0.0174654,-0.00598512
0.0779436,0.0101939,-0.00251523
0.0704866,0.00665909,-0.00523386
