x_pos,y_pos,yaw
0,0,0
0.0002406,-0.00421866,0.00375056
-0.000580678,-0.00344705,0.0018282
-0.00293957,-0.00755024,0.00445767
-0.00477098,-0.00111755,0.000401701
-0.00161932,-0.00388972,0.00182527
-0.00219239,0.000299497,-0.000412313
0.00256663,-0.00315447,0.000433415
0.00208839,-0.000702887,-0.000164605
0.00476881,-0.00304514,0.00166238
-0.00225767,-0.0034065,0.00166238
0.000669329,0.00365996,-0.00105626
-0.000395333,-0.0063685,0.00371543
-0.000114398,-0.004551,0.00213322
0.00220987,-0.00408279,0.0026215
0.00362555,-0.00550573,0.00371333
0.00473814,-0.00364492,0.00124763
0.00390035,-0.00490122,0.00334781
0.00574629,-0.00847854,0.00334781
0.00517923,-0.00613781,0.00300254
0.00531686,-0.00560856,0.00240452
-0.0031368,-0.00780331,0.0028928
-1.06796e-05,-0.00712205,0.00127335
-3.4629e-05,-0.0104255,0.00383392
-0.00163054,-0.00682665,0.00232894
-0.000970946,-0.00917797,0.00394839
0.00230644,-0.0112255,0.00463892
-0.000601875,-0.00640736,0.00189845
-0.00313105,-0.00438444,0.000921884
-0.00948908,-0.00696295,0.00242687
-0.00504612,-0.00719585,0.00173633
-0.00826623,-0.00771667,0.0020816
-0.00955438,-0.00266678,-0.000384099
-0.00473571,-0.00895011,0.00315384
-0.00197992,-0.0070245,0.00149799
-0.00257979,-0.00851938,0.00264312
-0.00332662,-0.00778377,0.00264312
-0.0020646,-0.00342696,-0.000140517
-0.00381735,-0.00959605,0.00356206
-0.00510858,-0.0078894,0.00287153
-0.00813164,-0.00732687,0.00287153
-0.00746888,-0.00685405,0.00287153
-0.00606166,-0.0101626,0.00384809
-0.00567699,-0.0118472,0.00560861
-0.00787922,-0.00776997,0.00348024
-0.01185,-0.0111178,0.00574431
-0.00917346,-0.00697467,0.00405286
-0.00800104,-0.00647373,0.00356457
-0.00919698,-0.00445724,0.00390984
-0.010761,-0.00739342,0.00439812
-0.0087128,-0.0058345,0.00439812
-0.00980663,-0.00562662,0.00348463
-0.00535789,-0.00556377,0.00313936
-0.00556713,-0.00688416,0.00447658
-0.00598747,-0.00368105,0.00356309
-0.00852583,-0.00357988,0.00296507
-0.00899949,-0.00424591,0.0038108
-0.00388663,0.00235607,0.00111417
-0.00611624,-0.00565508,0.00429738
-0.00244486,-0.00399729,0.00478566
-0.0078082,-0.00267758,0.00283253
-0.0104704,-0.000528546,0.002142
-0.0124537,-0.00267131,0.002142
-0.0106369,-0.00289805,0.00263028
-0.0131431,-0.0030108,0.00417436
-0.0103264,0.00199885,0.00110556
-0.00996575,0.00215181,0.0017961
-0.0116465,0.000985879,0.0017961
-0.0110682,0.00016036,0.0017961
-0.0136301,0.00285367,0.00248663
-0.0164549,0.000790385,0.00317716
-0.0118535,-0.00347792,0.00506827
-0.0132061,-0.00119874,0.00506827
-0.0128631,-0.0040284,0.00610407
-0.012433,-0.00683232,0.0057588
-0.0123085,-0.00326071,0.00341709
-0.0115554,-0.00585453,0.00626423
-0.0135045,-0.00359589,0.00361219
-0.0103369,-0.00156471,0.00206811
-0.0140683,-0.00693873,0.00430569
-0.010292,-0.00255143,0.00220551
-0.0128277,-0.00483692,0.00255078
-0.01621,-0.00192775,0.00170505
-0.0153201,-0.00387581,0.00279688
-0.0160972,-0.00539015,0.00478029
-0.0137482,-0.0018616,0.00189158
-0.0137612,-0.00561876,0.00351103
-0.0124664,-0.00479561,0.00291301
-0.0116688,-0.00861638,0.00664764
-0.0132003,-0.00796759,0.00713592
-0.0158475,-0.00375587,0.00366603
-0.0148302,-0.0105349,0.00731999
-0.0186734,-0.00643753,0.00480641
-0.0152207,-0.010861,0.00797084
-0.0170819,-0.00744522,0.0056806
-0.0198019,-0.00592042,0.0056806
-0.0200896,-0.00710869,0.00645264
-0.0223485,-0.00622855,0.00585462
-0.0237407,-0.00835,0.00727819
-0.0243766,-0.00898935,0.00787621
-0.0283597,-0.00568733,0.00515757
-0.0276984,-0.00475772,0.00550284
-0.0278349,-0.00586629,0.00550284
-0.0223994,-0.00574911,0.00550284
-0.0229813,-0.00396556,0.00421097
-0.0273248,-0.00318594,0.00421097
-0.0272629,-0.0036815,0.00421097
-0.0268056,-0.00687271,0.00545585
-0.0251548,-0.00607206,0.00643241
