x_pos,y_pos,yaw
0,0,0
0,0,0
0.000190163,1.37797e-09,0.0440834
-0.00278009,-2.3107e-06,0.0335895
-0.00258963,-2.38864e-06,0.0838963
-0.00258963,-2.38864e-06,0.0838963
0.00163814,5.29319e-06,-0.206065
0.00106131,7.77171e-06,-0.162611
0.00369857,1.67286e-07,-0.162705
0.00543802,-4.31346e-06,-0.132266
0.00290943,3.19381e-06,-0.248397
0.00249053,5.00934e-06,-0.258268
0.00238244,5.35233e-06,-0.063107
0.00270634,4.90412e-06,-0.0349789
0.00447497,3.37258e-06,-0.10419
0.00214584,3.34325e-06,0.0269379
0.00261944,3.10061e-06,0.0727864
0.00414754,5.08975e-06,0.0371661
0.00449405,5.28967e-06,0.000440794
0.00439828,5.42375e-06,0.0215673
0.00412902,5.24275e-06,0.0215677
0.00384415,5.22323e-06,0.00748071
0.000338412,4.61633e-06,-0.0144328
0.00378988,3.78953e-06,-0.0249062
0.00413566,3.64172e-06,-0.0497083
0.00386552,3.86821e-06,-0.0493369
0.00296326,4.67799e-06,-0.0461106
0.00329738,4.39602e-06,-0.0688724
0.00287254,5.0251e-06,-0.0155894
0.0035873,6.03235e-06,0.0414532
0.00224725,5.03205e-06,-0.0235151
0.00221138,5.06277e-06,-0.0235138
0.000475634,5.75977e-06,-0.0756041
0.00189914,3.53328e-06,-0.086698
0.00216613,2.93169e-06,-0.0875864
0.00102984,4.69958e-06,-0.0781889
0.00172373,4.30805e-06,-0.034885
0.0011106,3.72327e-06,0.00241425
0.0011106,3.72327e-06,0.00241425
4.89557e-05,3.4139e-06,0.0189141
0.00217059,5.7418e-06,0.153423
0.00118058,1.84577e-06,0.1441
0.00295037,7.00935e-06,0.150555
0.00304425,4.89479e-06,0.20907
0.00743249,2.36982e-05,0.151188
0.00839684,2.65589e-05,0.163523
0.00777038,2.44657e-05,0.248264
0.0066911,1.88386e-05,0.275466
0.00580368,1.56856e-05,0.260322
0.00550565,1.12795e-05,0.13598
0.00903471,2.18776e-05,0.401262
0.00911069,2.39546e-05,0.403363
0.0105964,3.0254e-05,0.409288
0.00963086,2.2171e-05,0.521928
0.00816563,1.09361e-05,0.488562
