x_pos,y_pos,yaw
0,0,0
0.0024506,-0.0021719,0.00195313
0.00852642,0.0011942,-0.00156792
0.00587445,0.00028608,-0.000276052
0.00657929,-0.000232229,0.000321968
0.00611459,-0.000674164,-2.32989e-05
0.0055014,-0.00191673,0.00148169
0.0062893,-0.00030009,0.000709645
0.00471682,0.00118086,0.000709645
0.00509539,0.00204377,0.000709645
0.00397727,0.000202546,0.00105491
0.00363604,-0.00174585,0.0019684
0.00368993,-0.000456435,0.000932601
0.00419895,-0.00242624,0.00258844
0.00635154,-0.00175278,0.00258844
0.00663086,-0.00280573,0.00362424
0.00577158,-0.00174903,0.00228703
0.0112503,-0.00237634,0.00362424
0.0103997,-0.00226333,0.00362424
0.0108755,-0.00331046,0.00362424
0.0113392,-0.00262223,0.00396951
0.0104258,-0.000140433,0.00227806
0.00983053,-0.000672658,0.00178977
0.0106552,-0.00226517,0.00303465
0.00592898,-0.0015257,4.45513e-05
0.00563688,-0.00315251,0.00154954
0.00579524,-0.00252127,0.00224007
0.00438388,-0.000321069,0.000859001
0.00519485,-0.00203684,0.00205504
0.00633474,-0.0025005,0.00290077
0.00310825,-0.000656413,0.00165589
0.00563054,-0.000880999,0.00200116
0.00552909,-0.000509906,0.00140314
0.0050348,-0.00152653,0.00294722
0.00806729,0.000204977,0.00156615
0.00836659,0.000360068,0.00191142
0.00834777,0.00252,-4.1707e-05
0.0114874,0.000548017,0.0018494
0.0109146,0.0010833,0.00150413
0.0136093,-4.53842e-05,0.00315997
0.0158182,0.000965959,0.00238793
0.0151738,-0.00156565,0.00353305
0.0176121,-0.00241244,0.00545542
0.0141341,-0.00325909,0.00350229
0.0128507,-0.00244089,0.00281176
0.017257,-0.00488593,0.00479517
0.0163555,-0.00519134,0.00556721
0.021346,-0.00232927,0.00556721
0.0200386,-0.00831087,0.00867461
0.0268956,-0.00496439,0.00564491
0.0241528,-0.00749749,0.00962672
0.0252554,-0.00539687,0.00800728
0.0288079,-0.0061704,0.0106368
0.0288066,-0.00542241,0.00994622
0.0347256,-0.00779149,0.010982
0.034822,-0.00502119,0.00969015
0.0351528,-0.00694625,0.0114165
0.0367437,-0.00519707,0.0103807
0.0376771,-0.00513773,0.0103807
0.0379814,-0.00563952,0.0109787
0.0401443,-0.00693894,0.0129011
0.0374387,-0.00370902,0.0104354
0.03654,-0.00501366,0.0111259
0.0358691,-0.00505861,0.0107806
0.036469,-0.00471963,0.0111259
0.0374992,-0.00654179,0.0119716
0.0371155,-0.00613798,0.0114833
0.0344159,-0.00744986,0.0129482
0.0385295,-0.00608728,0.0123502
0.0352529,-0.00768293,0.0131959
0.0354594,-0.008971,0.0141725
0.0334009,-0.0101715,0.0147705
0.0319822,-0.0113112,0.015461
0.0337283,-0.0124582,0.016059
