x_pos,y_pos,yaw
0,0,0
0.0026619,-0.00122298,0.00124488
0.00193075,-0.00309846,0.0018429
-0.00527685,-0.00391722,0.00281946
0.0017996,-0.00535631,0.00350999
0.00237921,-0.00419256,0.00253343
-0.00114153,-0.00637087,0.00302171
-0.000622448,-0.00782573,0.00302171
0.00129376,-0.00650741,0.00233118
0.00198695,-0.00740341,0.00310322
0.00325973,-0.0078644,0.00310322
0.00725715,-0.00816624,0.00261494
0.00359597,-0.00941599,0.00365074
0.00351792,-0.00786506,0.00250562
0.00772638,-0.00657717,0.00216035
0.00749473,-0.0059819,0.00216035
0.00456325,-0.00717476,0.00285089
0.00442877,-0.00774773,0.00319615
0.00488798,-0.00900707,0.00319615
0.00345631,-0.00737606,0.00228266
0.0121545,-0.0086461,0.00277094
0.0106397,-0.00405454,0.0011151
0.00511576,-0.00555967,0.00220693
0.00389208,-0.00399069,0.0013612
0.00380676,-0.00412324,0.0013612
0.00379108,-0.00474931,0.0013612
0.00497107,-0.00573949,0.00195922
0.00309339,-0.00386819,0.000622009
0.00394635,-0.00399509,0.00139405
0.00553135,-0.00551476,0.00237061
0.00616797,-0.00731183,0.00285889
0.00500503,-0.00523618,0.00176706
0.00273495,-0.00347401,0.00042985
0.00592213,-0.00552534,0.003277
0.00327487,-0.00346602,0.000860126
0.00420436,-0.0034422,0.00163217
0.00395916,-0.00359892,0.00163217
0.00353912,-0.00308099,0.00163217
0.00275572,-0.0018919,0.00103415
0.00404406,-0.00296727,0.00217927
0.00363098,-0.00291848,0.00217927
0.00427866,-0.00159821,0.00266755
0.000901401,-0.000422424,0.00175406
0.00471351,-0.003699,0.00474416
0.00282711,-0.00418888,0.00414614
0.00917478,-0.00564999,0.00534218
0.0112735,-0.00565548,0.00667939
0.0148106,-0.00873419,0.00914509
0.0140409,-0.00738252,0.0082316
0.0149447,-0.0111425,0.00932343
0.0166594,-0.00868357,0.00932343
0.0210589,-0.0107061,0.0122531
0.029431,-0.00719876,0.011108
0.0380033,-0.0121899,0.0165123
0.0403531,-0.0155208,0.0180173
0.0391328,-0.0165377,0.0172452
0.0401871,-0.0142825,0.0175905
0.0398025,-0.015225,0.0175905
0.0404299,-0.0134521,0.0181885
0.0412965,-0.0126215,0.0181885
0.0412032,-0.0135958,0.0178433
0.0438064,-0.0145611,0.0191351
0.0417535,-0.0140599,0.0191351
0.0467937,-0.0159927,0.0208956
0.0359478,-0.0153168,0.0195146
0.0453857,-0.0159407,0.0200029
0.0448133,-0.0142248,0.0189671
0.0447803,-0.016648,0.0198805
0.0348043,-0.0159978,0.0192825
0.0337991,-0.0148142,0.0196278
0.035507,-0.0148808,0.0199731
0.0390676,-0.0145633,0.0192825
0.0376117,-0.0159876,0.0202591
0.0380784,-0.0137743,0.0190142
0.0372306,-0.0121404,0.0179784
0.037883,-0.0132582,0.0179784
0.0400645,-0.0134721,0.0174901
0.0399131,-0.0128461,0.0171449
0.0340622,-0.0130579,0.0180584
0.0341024,-0.0126137,0.0180584
0.0351811,-0.0131135,0.0177131
0.0334898,-0.0133211,0.0171151
0.0340867,-0.0134285,0.0176034
0.0319738,-0.0122089,0.0161798
0.0320964,-0.0123682,0.0167778
0.0329917,-0.0130585,0.0174683
0.0318345,-0.0112432,0.0160873
0.0321861,-0.0122367,0.0165755
0.0319188,-0.0120226,0.0159775
0.031941,-0.0106985,0.0159775
0.0327925,-0.0117786,0.0164658
0.033043,-0.0132278,0.0171563
0.0323356,-0.01336,0.0171563
0.0297429,-0.0118303,0.0156514
0.0300083,-0.0123983,0.0163419
0.0317636,-0.0121015,0.0166872
0.0333787,-0.0144811,0.0176006
0.0320116,-0.0148704,0.0168286
0.0324987,-0.0146388,0.0173169
0.0325299,-0.0146474,0.0176622
0.032261,-0.0139687,0.0180074
0.0325145,-0.0122725,0.0157698
0.0281763,-0.0129568,0.0164604
0.0302281,-0.015292,0.0174962
0.0284641,-0.0141347,0.0166504
0.0287199,-0.0143657,0.0163052
0.0283435,-0.014618,0.0159599
0.0297129,-0.0137258,0.0159599
0.0248599,-0.0139242,0.0159599
0.0286339,-0.0135924,0.0159599
