x_pos,y_pos,yaw
0,0,0
0.00151865,-0.00224188,0.000845728
0.00400401,-0.00389158,0.0029741
0.00609172,-0.00423603,0.00331936
0.00722293,-0.0035702,0.00283108
0.0111824,-0.00530482,0.0034291
0.0152401,-0.00425825,0.00192412
0.0158708,-0.00483109,0.00226939
0.0158646,-0.00358223,0.00226939
0.0151933,-0.00145946,0.00031626
0.0186627,-0.00512929,0.0030349
0.0185253,-0.00502413,0.0030349
0.0216731,-0.00544371,0.0040707
0.0236583,-0.00155155,0.000288485
0.0229103,-0.00371211,0.00227189
0.0210935,-0.00251608,0.000807049
0.0200909,-0.00350843,0.00165278
0.0157863,-0.00335863,0.00165278
0.0149042,-0.00296802,0.000739286
0.01616,-0.00312682,0.000394019
0.0173226,-0.00401848,0.0016389
0.0170812,-0.0041338,0.0016389
0.018399,-0.00580064,0.00293077
0.0189501,-0.00448617,0.00233275
0.0222644,-0.0039756,0.00198748
0.0210799,-0.00345051,0.00095168
0.0199764,-0.00395727,0.00095168
0.0186049,-0.00152356,-0.00117669
0.00935102,-0.00568303,0.00260552
0.00229208,-0.00557426,0.00260552
0.0171286,-0.00469858,0.00320354
0.0147922,-0.00634378,0.00285828
0.0154935,-0.00782417,0.0040034
0.0134354,-0.00628136,0.0040034
0.0121979,-0.00380867,0.00253855
0.0104704,-0.00422058,0.00253855
0.0135114,-0.00835281,0.00490559
0.0122059,-0.00748262,0.00386978
0.0102858,-0.00752253,0.00386978
0.0233982,-0.00306686,0.0013326
0.0254892,-0.00318457,0.00279744
0.0269016,-0.00466349,0.00279744
0.0318274,-0.00432276,0.00452378
0.0288565,-0.00358776,0.00218206
0.0312385,-0.00487093,0.00267035
0.0334359,-0.00566137,0.00485401
0.035582,-0.0068918,0.00614588
0.0375249,-0.00844619,0.00765086
0.0447354,-0.00603211,0.00346472
0.0473792,-0.00500137,0.00431045
0.0465139,-0.00538724,0.00589266
0.0480916,-0.00661307,0.00649068
0.0472156,-0.00825194,0.0103043
0.0484352,-0.00874046,0.00932772
0.0570152,-0.00802827,0.0087297
0.0588127,-0.00983049,0.00970626
0.0594585,-0.00864267,0.0100515
0.0590122,-0.00796558,0.00970626
0.0584488,-0.00852464,0.00901573
0.0602522,-0.00904135,0.00978777
0.062079,-0.0103725,0.0114792
0.0593673,-0.0087116,0.00929556
0.0616257,-0.00938282,0.00929556
0.0610614,-0.00837784,0.00964083
0.0610255,-0.00899304,0.00860503
0.0618965,-0.00938756,0.00929556
0.0616048,-0.00841156,0.00929556
0.05873,-0.00723095,0.00753504
0.061877,-0.0101734,0.0101188
0.0596141,-0.0113326,0.010464
0.0585413,-0.0104468,0.00977351
0.0584361,-0.00914309,0.00928523
0.0591831,-0.00678944,0.00749117
0.0592088,-0.0078951,0.00808919
0.0614201,-0.00946382,0.00933407
0.0604445,-0.00892129,0.0089888
0.062134,-0.0093225,0.0089888
0.0622606,-0.0095934,0.0089888
0.057323,-0.0149748,0.0138349
0.0577584,-0.0152985,0.0146806
0.05723,-0.0147593,0.0140826
0.0589813,-0.0162043,0.0149961
0.0590879,-0.0174022,0.0158418
0.0583848,-0.0158148,0.0149283
0.0587956,-0.0162221,0.0156188
0.0590739,-0.015849,0.0156188
0.0567897,-0.0134116,0.0137277
0.0558978,-0.0140066,0.014216
0.05899,-0.0174259,0.0175635
0.0576158,-0.016248,0.0164184
0.0589778,-0.0173528,0.0172641
0.0656786,-0.0181078,0.0181098
0.0661029,-0.0179063,0.0177646
0.0685226,-0.0196044,0.0197177
0.068679,-0.0176461,0.0176175
0.0680643,-0.0173116,0.0171292
0.0687766,-0.0179394,0.0178198
0.0681587,-0.018413,0.0178198
0.0677753,-0.0179574,0.0178198
0.0696873,-0.0193817,0.0191116
0.0653182,-0.0161462,0.0167699
0.0677335,-0.0182677,0.018723
0.0660962,-0.0174175,0.0176872
0.0673052,-0.0179693,0.0180325
0.0669577,-0.0190344,0.0188046
0.0659233,-0.0171632,0.018114
0.0616792,-0.0141974,0.015246
0.0628855,-0.0150032,0.0164421
0.065171,-0.0161356,0.0175872
0.0662596,-0.0159585,0.0175872
0.0649843,-0.0144786,0.0168151
0.0661304,-0.0157612,0.018107
0.0665662,-0.0170057,0.018107
0.0645793,-0.0157063,0.0167698
0.0662255,-0.0161105,0.0175418
0.0667412,-0.0169812,0.0180301
0.0468988,-0.0172602,0.0168341
0.0449834,-0.0193581,0.0195962
0.0472329,-0.0215904,0.0211012
0.0476203,-0.0228182,0.0215895
0.0470499,-0.0211046,0.0197954
0.0434237,-0.020679,0.0194501
0.0428821,-0.0196285,0.0187596
0.0385732,-0.017892,0.0181616
0.0411397,-0.0193809,0.0193576
0.0421297,-0.0210588,0.0200482
0.0435662,-0.0204081,0.0197029
0.0453639,-0.0221647,0.0207387
0.0458129,-0.0222434,0.0207387
0.0452998,-0.021661,0.0207387
0.0460842,-0.0225521,0.021084
0.045972,-0.0220668,0.021084
0.0462792,-0.0215021,0.0207387
0.0468274,-0.0217557,0.0203934
0.0476213,-0.0228032,0.021084
0.0477425,-0.022292,0.021084
0.046043,-0.021057,0.0196604
0.0453466,-0.0195696,0.0186838
0.045976,-0.0203837,0.0195296
0.0450563,-0.0201178,0.0198748
0.0447073,-0.0228572,0.0225043
0.0448566,-0.0237188,0.022159
0.0456814,-0.0222134,0.0216708
0.0442193,-0.0228086,0.0216708
0.0422528,-0.0206511,0.0199793
0.0435885,-0.0214123,0.0212712
0.0443144,-0.0216458,0.0212712
0.0421113,-0.0195675,0.0199793
0.0431308,-0.0212784,0.0207513
0.0457415,-0.0218597,0.0223708
0.0473188,-0.0212497,0.0231428
0.0487414,-0.0206697,0.0231428
0.0517666,-0.0206769,0.0231428
0.0544193,-0.0214514,0.0249034
0.0541216,-0.0199642,0.0219132
0.0525712,-0.0226265,0.0252249
0.0600621,-0.0215397,0.0246269
0.0904358,-0.034289,0.0305369
0.0963457,-0.0271733,0.0346513
0.110588,-0.0281907,0.0351396
0.120191,-0.0329176,0.0421817
0.116089,-0.0280314,0.0377332
0.128092,-0.0341162,0.0458891
0.13351,-0.0340199,0.0494102
0.14097,-0.036389,0.051066
0.14388,-0.0357812,0.0524896
0.150105,-0.0385882,0.0568977
0.148706,-0.0377526,0.0568977
0.148626,-0.0342447,0.0559211
0.151974,-0.033266,0.0546762
0.158235,-0.035575,0.060433
0.161432,-0.0370265,0.0624756
0.171401,-0.0299066,0.0577922
0.208953,-0.0350853,0.0562872
0.233844,-0.0315814,0.0525686
0.256409,-0.0321161,0.0525686
0.262542,-0.0323751,0.0471423
0.269972,-0.0321919,0.0525795
0.266777,-0.0350991,0.0492499
0.271739,-0.0398436,0.0517871
0.29276,-0.0401347,0.0534065
0.301005,-0.037786,0.0517871
0.298214,-0.035487,0.0494968
0.300485,-0.0394757,0.0505326
0.307876,-0.0354251,0.0456498
0.312895,-0.0360792,0.0492046
0.322665,-0.0298899,0.0445467
0.324167,-0.0321158,0.0455825
0.366907,-0.0346761,0.0474418
0.400165,-0.0354816,0.0474418
0.408129,-0.0446597,0.051585
0.410178,-0.0447697,0.0519303
0.409509,-0.0435416,0.0508384
0.409378,-0.0432504,0.0503501
0.411315,-0.0463605,0.0498619
0.412394,-0.0449046,0.0490161
0.423753,-0.0426862,0.0475513
0.434716,-0.0477048,0.0504193
0.465966,-0.0500438,0.0526834
0.489037,-0.045696,0.0514873
0.511928,-0.045577,0.052333
0.517514,-0.056001,0.0545167
0.532393,-0.0523722,0.0552072
0.545711,-0.0526213,0.0532238
0.551415,-0.0509792,0.0532238
0.562915,-0.0552864,0.0551462
0.567462,-0.0530588,0.0570055
0.606924,-0.0536668,0.0565172
0.656317,-0.0528157,0.0584083
0.704508,-0.0586506,0.0603615
0.748632,-0.0522283,0.0579446
0.797315,-0.049028,0.0595268
0.840073,-0.0473592,0.0578354
0.885405,-0.044611,0.0587488
0.939853,-0.037132,0.0632638
1.00204,-0.0257381,0.0542603
1.06019,-0.0255892,0.0510584
1.11881,-0.017934,0.0398971
1.17864,-0.0125935,0.0376069
1.23941,-0.00693609,0.0307884
1.26304,-0.00395532,0.0282046
1.29046,-0.00305257,0.0252547
1.29845,-0.0026261,0.0209979
1.29783,-0.00372498,0.0196607
1.29999,-0.00499854,0.0206965
1.28303,0.00179409,0.007178
1.28519,0.000706902,0.00809149
1.31248,0.00317298,0.00129927
1.32681,9.39726e-06,0.00129927
1.33217,0.000122702,-0.0012613
1.36355,0.000287099,-0.00633567
1.36052,-0.000545186,-0.0102723
1.36753,0.0004872,-0.014343
1.3691,-0.00206302,-0.0148312
1.36837,-0.00199518,-0.0179578
1.38788,-0.00249817,-0.0200294
1.40766,-0.00844515,-0.022543
1.41066,-0.0127078,-0.0212057
1.41744,-0.0113361,-0.0270956
1.42249,-0.0207253,-0.0297476
1.42412,-0.0219143,-0.0286025
1.45025,-0.0205953,-0.034903
1.46043,-0.0265898,-0.0326128
1.49373,-0.0255322,-0.0369527
1.53925,-0.0271224,-0.0342341
1.56456,-0.0279476,-0.0350798
1.57171,-0.0340638,-0.0368062
1.58094,-0.0431759,-0.0298922
1.6056,-0.0484693,-0.0302374
1.60943,-0.0530691,-0.0274113
1.67943,-0.0534217,-0.0268133
1.7299,-0.056074,-0.0304509
1.77119,-0.058019,-0.0263366
1.81487,-0.0605552,-0.021942
1.86103,-0.0676792,-0.0261139
1.90581,-0.0703008,-0.0187249
1.97714,-0.0647505,-0.0240064
2.0297,-0.0667118,-0.0210363
2.09947,-0.0700394,-0.0178719
2.15447,-0.0720703,-0.0187176
2.16594,-0.0764268,-0.00944027
2.19769,-0.0814966,-0.00992855
2.25128,-0.0818112,-0.00785694
2.26601,-0.0821662,-0.00785694
2.26922,-0.0864601,-0.00567328
2.27154,-0.0898411,-0.00262397
2.27599,-0.0925404,-0.000701602
2.27649,-0.0940676,-0.00246212
2.26889,-0.100912,0.00506281
2.26894,-0.104542,0.00555109
2.2722,-0.111377,0.00948775
2.27589,-0.116075,0.0168282
2.2764,-0.116227,0.01634
2.27894,-0.118147,0.0188057
2.28044,-0.121873,0.0202705
2.28814,-0.125872,0.0218899
2.3014,-0.129377,0.0289151
2.30511,-0.130141,0.0267043
2.32334,-0.133323,0.0330049
2.31725,-0.138196,0.0315813
2.32007,-0.138689,0.0332727
2.31604,-0.139957,0.0360132
2.31851,-0.140726,0.0360132
2.32339,-0.142485,0.0372093
2.3383,-0.145512,0.0455673
2.33665,-0.143681,0.045079
2.34023,-0.143463,0.045677
2.33717,-0.146975,0.0537817
2.33125,-0.145985,0.050047
2.33214,-0.146626,0.0510828
2.33202,-0.146964,0.0516808
2.33247,-0.145681,0.0516808
2.33226,-0.145916,0.0523714
2.33722,-0.146873,0.0552394
2.3385,-0.145973,0.0552394
2.34052,-0.147415,0.0583659
2.34174,-0.146085,0.0591379
2.34088,-0.146802,0.0591379
2.34901,-0.143706,0.0631939
2.37452,-0.138413,0.0599184
2.38557,-0.135846,0.0636848
2.38432,-0.133067,0.0616716
2.38206,-0.128241,0.0586815
2.39845,-0.133486,0.0673751
2.41938,-0.123773,0.0541463
2.44066,-0.127394,0.0614461
2.48579,-0.121903,0.0531597
2.49641,-0.120968,0.0531597
2.50086,-0.119051,0.0480269
2.49973,-0.118357,0.0475386
2.55646,-0.117732,0.0485744
2.61263,-0.112708,0.0462327
2.64743,-0.113443,0.0496507
2.67171,-0.108805,0.0437608
2.67693,-0.109853,0.045714
2.72555,-0.105248,0.037103
2.77616,-0.108669,0.0418872
2.80967,-0.105065,0.0386483
2.87346,-0.101916,0.0350602
2.92602,-0.101049,0.0405844
2.99207,-0.097867,0.0380947
3.03751,-0.101915,0.0447808
3.09286,-0.102086,0.0502834
3.12655,-0.0990234,0.0514285
3.18338,-0.0959617,0.0538206
3.21176,-0.0999957,0.0609802
3.25017,-0.104112,0.0675675
3.27745,-0.101473,0.0675675
3.2897,-0.101211,0.0675675
3.29314,-0.101959,0.0682581
3.33933,-0.0936524,0.0642613
3.39113,-0.0946747,0.0693591
3.46241,-0.0937393,0.074017
3.46922,-0.0940558,0.074017
3.48042,-0.0938403,0.0772559
3.48282,-0.0921021,0.0791152
3.48921,-0.0903052,0.07877
3.49736,-0.0891896,0.0806923
3.53072,-0.0857623,0.0791483
3.57291,-0.0823838,0.0802934
3.63293,-0.0766326,0.078371
3.68187,-0.0738722,0.0794068
3.73943,-0.0722133,0.0836355
3.8072,-0.0620714,0.0771301
3.85927,-0.0632101,0.083834
3.91933,-0.0554532,0.0867227
3.97927,-0.0466587,0.077988
4.03435,-0.0442167,0.0813533
4.09913,-0.04112,0.0827344
4.15836,-0.0333778,0.080751
4.21725,-0.0377055,0.0911033
4.28863,-0.0297473,0.0832603
4.37863,-0.0253503,0.0855764
4.37958,-0.0226842,0.0859217
4.43731,-0.016594,0.0803117
4.43751,-0.0157824,0.0819676
4.43926,-0.0149617,0.0809318
4.44209,-0.013799,0.0786942
4.45632,-0.0149606,0.0853445
4.49897,-0.00835605,0.0789315
4.50111,-0.00676175,0.0795295
4.51751,-0.00412485,0.076789
4.51928,-0.00517382,0.0771343
4.51858,-0.00580169,0.080689
4.52257,-0.00183821,0.0735461
4.54595,0.00185748,0.0738913
4.59484,0.00575295,0.0744893
4.61992,0.00793003,0.0726624
4.64605,0.010633,0.0737542
4.70371,0.0138601,0.0697724
4.73846,0.0178425,0.0706859
4.7795,0.0175937,0.0752008
4.80363,0.0240391,0.0703058
4.86814,0.0269531,0.072843
4.88777,0.0289909,0.0702135
4.9516,0.0305071,0.0732628
4.98452,0.0339394,0.0721177
5.00883,0.0351836,0.0710259
5.02204,0.035563,0.0742091
5.037,0.0403888,0.0649962
5.07694,0.0409967,0.067207
5.10408,0.0431172,0.0675522
5.10352,0.0449096,0.0657582
5.10431,0.0439732,0.0662465
5.11223,0.0419476,0.069949
5.11281,0.0457644,0.0637631
5.11504,0.0435733,0.0654545
5.11715,0.0428676,0.0664903
5.12301,0.0426224,0.0651985
5.15688,0.0440655,0.0643527
5.1773,0.0446732,0.0671789
5.18231,0.0461053,0.0645721
5.18099,0.0463475,0.0635956
5.20453,0.0466876,0.0657518
5.21067,0.0452259,0.0691347
5.2122,0.0441129,0.0691347
5.21698,0.0451871,0.0672754
5.25204,0.0527911,0.0625539
5.24985,0.0496151,0.0656994
5.28145,0.0526803,0.0636862
5.30103,0.0537531,0.0620668
5.31141,0.0534765,0.065688
5.30526,0.053616,0.0623943
5.31626,0.0521921,0.0642854
5.27103,0.0468861,0.0687205
5.27224,0.0485315,0.063729
5.30107,0.0500566,0.0656514
5.30337,0.0503127,0.0651631
5.30196,0.0512768,0.0631797
5.30126,0.0516166,0.0646846
5.31201,0.052662,0.0610635
5.31651,0.050955,0.0634555
5.31993,0.0519281,0.0606506
5.31997,0.0491959,0.0595587
5.33144,0.046761,0.065158
5.33224,0.0461104,0.0642445
5.33382,0.0458469,0.0664553
5.33369,0.0456573,0.0639656
5.33893,0.0427749,0.0668953
5.34432,0.0419896,0.0688787
5.36092,0.0484785,0.060485
5.39115,0.0481496,0.0627491
5.39797,0.0466768,0.0660966
5.40134,0.0460826,0.0629134
5.40089,0.0429774,0.0675841
5.39105,0.0438361,0.0619003
5.39446,0.0390049,0.0674675
5.39376,0.0391001,0.0662715
5.39737,0.0358235,0.0687851
5.43475,0.0390977,0.0657751
5.51353,0.0433285,0.0637619
5.54672,0.0433672,0.0677586
5.54685,0.043495,0.0681039
5.56773,0.044838,0.0696861
5.57499,0.0467133,0.0670794
5.58162,0.0450925,0.0681152
5.58066,0.0489982,0.0677699
5.58053,0.0495915,0.0660785
5.58121,0.049911,0.0668505
5.58281,0.0500078,0.0676962
5.60539,0.0510393,0.0641922
5.61862,0.0515103,0.0697487
5.61966,0.0502819,0.0708938
5.62543,0.0509683,0.0708938
5.61623,0.0505766,0.076743
5.61569,0.0543087,0.0728983
5.6278,0.0530986,0.0802469
5.65313,0.0580125,0.0796489
5.66381,0.0646438,0.0737288
5.67021,0.0635101,0.0773664
5.68027,0.0619404,0.0823459
5.68522,0.0586597,0.0910327
5.69286,0.0613253,0.0955871
5.729,0.066129,0.0933763
5.75087,0.0664521,0.101212
5.77478,0.071635,0.100016
5.80905,0.0750818,0.101261
5.83835,0.0772107,0.104554
5.88784,0.0850047,0.0998453
5.93639,0.0916218,0.0958189
5.9944,0.0968759,0.0958189
6.04977,0.0996572,0.0987688
6.11561,0.106616,0.0987688
6.17679,0.114889,0.0940981
6.23202,0.125562,0.0896497
6.29505,0.129507,0.0854778
6.36,0.134081,0.0867697
6.41663,0.136509,0.0896789
6.46528,0.141372,0.0874681
6.53924,0.140696,0.0968223
6.59929,0.149648,0.0899864
6.63895,0.148663,0.0958762
6.70623,0.154583,0.0967897
6.77592,0.163229,0.0909201
6.82452,0.160373,0.0987479
6.86232,0.166937,0.0977121
6.90778,0.167601,0.0977121
6.97774,0.172418,0.100642
7.0394,0.174524,0.104712
7.1137,0.184075,0.103677
7.18919,0.189902,0.106706
7.25368,0.194509,0.108398
7.32069,0.20711,0.108053
7.38641,0.214284,0.105378
7.45022,0.215931,0.108916
7.51253,0.221584,0.106994
7.57362,0.22455,0.110177
7.63621,0.229508,0.109085
7.69877,0.235195,0.106456
7.76405,0.249035,0.100241
7.82324,0.251767,0.0965705
7.88632,0.261432,0.0944989
7.9491,0.262595,0.0915489
8.01616,0.266766,0.0899667
8.0926,0.269862,0.0896214
8.15693,0.276968,0.0821842
8.24852,0.28063,0.0841676
8.30443,0.285005,0.0766426
8.37187,0.291987,0.0748156
8.441,0.293758,0.0778453
8.50126,0.298688,0.0789372
8.56371,0.299304,0.0824071
8.63006,0.29904,0.080863
8.65552,0.307561,0.0783258
8.69237,0.307234,0.0836411
8.70488,0.309101,0.0821763
8.70537,0.308822,0.081831
8.70812,0.30861,0.0826767
8.69125,0.307046,0.0742194
8.69748,0.304002,0.0808067
8.70525,0.305948,0.0740851
8.70707,0.303921,0.0755087
8.70837,0.302585,0.0758539
8.71538,0.304742,0.0761992
8.71774,0.303308,0.074862
8.71695,0.303769,0.0741714
8.71986,0.3034,0.074862
8.72142,0.30009,0.0752072
8.7262,0.297047,0.0775993
8.73454,0.300184,0.0704898
8.73752,0.298831,0.0714033
8.76228,0.303769,0.0684736
8.81799,0.302123,0.0700177
8.88185,0.306937,0.0700177
8.88227,0.308053,0.0666525
8.88639,0.310919,0.0612925
8.88996,0.310962,0.0626297
8.89529,0.309322,0.0626297
8.90811,0.312395,0.0601883
8.92203,0.31114,0.0605335
8.9381,0.315371,0.0544545
8.97911,0.316282,0.0541092
9.04045,0.32215,0.0494385
9.07347,0.321856,0.0520906
9.13186,0.325267,0.0451508
9.14057,0.32237,0.0462426
9.15028,0.32129,0.0497467
9.15935,0.319332,0.0497467
9.1614,0.318216,0.0489746
9.19694,0.323853,0.042779
9.23184,0.328552,0.0376695
9.23545,0.326077,0.039653
9.3035,0.332743,0.0332678
9.34268,0.331757,0.0363172
9.36795,0.332093,0.0334079
9.4123,0.334608,0.0330626
9.44758,0.336419,0.0334079
9.48186,0.340049,0.0295787
