x_pos,y_pos,yaw
0,0,0
-0.000915499,-0.00100027,0.00059802
0.000370605,-0.00177327,0.00193523
0.000822859,-0.00230072,0.00242351
-0.000139308,-0.00166212,0.00157779
-0.000724348,-0.00178999,0.00249128
9.03416e-06,-0.00324032,0.00368732
-0.00239292,-0.00409776,0.00403258
-0.00271488,-0.0050152,0.00334205
-0.00228236,-0.00568379,0.00403258
-0.000651726,-0.00257555,0.00166555
-0.00530336,-0.00622788,0.00358792
-0.00539456,-0.00650672,0.00393318
-0.00518648,-0.00495483,0.00358792
-0.00449745,-0.00619524,0.00462372
-0.00611564,-0.00744412,0.00571555
-0.00636936,-0.00753583,0.00686067
-0.00608866,-0.00794728,0.00686067
-0.00706182,-0.00752234,0.00626265
-0.0065416,-0.00739395,0.00577437
-0.0050795,-0.00624397,0.00528609
-0.0054744,-0.00581969,0.00479781
-0.00533929,-0.00613409,0.00445254
-0.00518111,-0.00606103,0.0036805
-0.00677898,-0.00644312,0.0036805
-0.00658936,-0.00667511,0.00427852
-0.00718051,-0.00493893,0.00379024
-0.00595236,-0.00428814,0.00264512
-0.00645161,-0.00456079,0.0020471
-0.00677834,-0.00447563,0.00170183
-0.00855349,-0.00430567,0.0020471
-0.00713158,-0.00548861,0.00324314
-0.00858685,-0.00511335,0.0025526
-0.00776355,-0.00324022,0.0025526
-0.00736838,-0.00411873,0.00195458
-0.00756822,-0.00484589,0.00272662
-0.00828246,-0.00366441,0.00223834
-0.00710348,-0.00371595,0.00223834
-0.00758211,-0.00281953,0.00189307
-0.00720232,-0.00267276,0.00280657
-0.00681199,-0.00345588,0.00280657
-0.00860159,-0.00610377,0.00565371
-0.00923779,-0.00567781,0.00480798
-0.00908267,-0.00348623,0.00480798
-0.00796233,-0.00367653,0.00515325
-0.00728053,-0.00498226,0.00584378
-0.00882342,-0.00811483,0.00845049
-0.00924128,-0.0059722,0.00686828
-0.00590626,-0.00555387,0.00947499
-0.00257101,-0.00523792,0.00849843
0.00423408,-0.00961915,0.0153518
0.00614349,-0.00974382,0.0167754
0.0180666,-0.0135134,0.0248357
0.0306445,-0.0172629,0.0341131
0.0344747,-0.0163696,0.0363772
0.0349352,-0.0155319,0.0381712
0.0442713,-0.0200444,0.0474358
0.0680299,-0.0228509,0.0588818
0.0747463,-0.0242982,0.0641067
0.0784373,-0.0216747,0.0653515
0.0907061,-0.0267104,0.0737594
0.0938323,-0.0262922,0.076456
0.114956,-0.0290216,0.0857334
0.117617,-0.0268068,0.0884955
0.120053,-0.0264859,0.0908116
0.116209,-0.0218207,0.0877235
0.133074,-0.0263726,0.0951286
0.138328,-0.0225161,0.0963247
0.137752,-0.0183675,0.0963247
0.138669,-0.0144693,0.0983379
0.143971,-0.0160711,0.102538
0.144159,-0.015455,0.104082
0.147544,-0.0124068,0.106572
0.134151,-0.00916998,0.109313
0.141809,-0.0119781,0.115735
0.136419,0.00139197,0.110602
0.135026,0.00251362,0.10983
0.132763,0.00588184,0.107787
0.131358,0.0114792,0.10645
0.131792,0.0110392,0.10645
0.130539,0.0126261,0.105254
0.13057,0.0130778,0.105254
0.128092,0.0158827,0.103271
0.128483,0.0173714,0.103271
0.128348,0.0215263,0.102783
0.122185,0.0237124,0.0976151
0.127162,0.0235313,0.0972698
0.127497,0.0261104,0.0979603
0.170601,0.0287234,0.0959769
0.171649,0.0280455,0.0965749
0.172303,0.0310918,0.0945617
0.18056,0.038377,0.0924055
0.183055,0.0400796,0.0927508
0.182332,0.0399216,0.0921527
0.197373,0.0419306,0.0907292
0.197046,0.0421938,0.0923114
0.206745,0.0440822,0.0876535
0.210737,0.0440337,0.0873082
0.210193,0.0475556,0.0860163
0.208202,0.0510165,0.0835749
0.211524,0.044594,0.0857033
0.222356,0.0506944,0.0782022
0.223548,0.0497675,0.0782022
0.222982,0.0504201,0.0775116
0.22461,0.0477628,0.0771664
0.226298,0.0437383,0.0787858
0.22777,0.0417059,0.0806451
0.227063,0.0432593,0.0790629
0.227217,0.0493223,0.0784649
0.224978,0.0522391,0.0763087
0.221294,0.0516487,0.0775047
0.21837,0.0525256,0.0740349
0.217186,0.0602937,0.0740349
0.227155,0.061864,0.0740349
0.226233,0.0616915,0.0732628
0.231487,0.05648,0.0769331
0.230967,0.057803,0.0769331
0.239779,0.059738,0.0781291
0.241877,0.0686502,0.079421
0.264384,0.0573371,0.0834177
0.263915,0.0609369,0.0834177
0.263176,0.0712485,0.0816237
0.273139,0.0707545,0.0867448
0.274706,0.0729599,0.0849178
0.27789,0.0692724,0.0866093
0.291072,0.0585181,0.0969961
0.281687,0.0721015,0.0903457
0.28139,0.0744042,0.0898575
0.282137,0.0788286,0.0895122
0.288559,0.0754397,0.0942588
0.289114,0.0788606,0.0946041
0.285455,0.075134,0.0915744
0.290641,0.0720356,0.0955712
0.288996,0.0863251,0.0931543
0.290718,0.082655,0.0944462
0.297554,0.0854433,0.0907115
0.310205,0.0884873,0.0903663
0.315197,0.0888754,0.094363
0.338099,0.0802584,0.0957441
0.33641,0.0857532,0.0948983
0.332148,0.0927212,0.0915154
0.327436,0.101525,0.0860236
0.329634,0.0982321,0.0876795
0.343509,0.096106,0.0969889
0.340208,0.096438,0.0946472
0.339069,0.0984659,0.0946472
0.326221,0.112849,0.0848086
0.324784,0.110528,0.0835167
0.321272,0.11441,0.0808646
0.328008,0.111513,0.0864319
0.327994,0.112597,0.0864319
0.331191,0.113374,0.0885035
0.335942,0.126199,0.0909692
0.338258,0.11643,0.0898774
0.327547,0.124211,0.0913422
0.323937,0.126937,0.0886902
0.327265,0.120449,0.0907904
0.323109,0.11999,0.0873899
0.329581,0.118126,0.0915474
0.311188,0.119581,0.0943524
0.31278,0.111427,0.0950429
0.309596,0.115086,0.0927268
0.305362,0.125713,0.0898381
0.29964,0.12669,0.0891476
0.303236,0.114748,0.0911608
0.303273,0.113267,0.0919328
0.303064,0.1152,0.0911608
0.306633,0.115991,0.0943997
0.304086,0.119467,0.0925404
0.304758,0.128347,0.0921951
0.296028,0.112287,0.0915971
0.292807,0.118644,0.0887291
0.298849,0.115137,0.0933096
0.289488,0.125417,0.0864562
0.301687,0.127259,0.0918715
0.307792,0.128564,0.0869401
0.306279,0.131178,0.085795
0.305419,0.130913,0.085023
0.309717,0.130228,0.0879322
0.304087,0.133337,0.0829408
0.299788,0.134029,0.0867387
0.305456,0.122469,0.0907205
0.307893,0.119461,0.0947618
0.312377,0.112638,0.0970258
0.306308,0.120767,0.0909174
0.31163,0.115073,0.0957758
0.314466,0.121811,0.0957758
0.315045,0.127149,0.0945309
0.31087,0.126818,0.0917259
0.312681,0.119758,0.0934174
0.310423,0.128375,0.0916568
0.315633,0.123732,0.0962373
0.312939,0.12359,0.0938956
0.31012,0.122504,0.0922042
0.317785,0.123656,0.0979713
0.336797,0.127614,0.0964663
0.338407,0.13322,0.0949613
0.341048,0.123621,0.0963849
0.341711,0.123514,0.0968732
0.334162,0.126017,0.0907355
0.335855,0.131591,0.091649
0.342382,0.127607,0.0975591
0.351579,0.131843,0.0928502
0.35455,0.122631,0.103828
0.339913,0.127141,0.0923616
0.341524,0.124905,0.0935067
0.342951,0.124975,0.0944202
0.346335,0.124151,0.0960761
0.343907,0.128946,0.0922159
0.34616,0.122151,0.096542
0.344188,0.128743,0.0950371
0.344581,0.122699,0.0953823
0.343439,0.122396,0.0944058
0.344288,0.119522,0.094751
0.343121,0.127737,0.094153
0.340479,0.13338,0.0924616
0.342132,0.12934,0.0932336
