x_pos,y_pos,yaw
0,0,0
0.000928025,-0.00175263,0.00119604
0.00058021,-0.00297793,0.00154131
0.00178965,-0.000579281,0.000695579
0.00270741,-0.000984105,-0.000549299
0.00366327,0.000705207,-0.00114732
0.00582539,0.00118891,-0.000301591
0.00450707,-0.00221744,0.00216411
0.00377976,3.9826e-05,-7.34772e-05
0.00109476,-0.000975935,0.00027179
0.000681296,0.000174672,-0.000418744
0.000530992,-0.00135591,0.00156466
-0.000176678,-3.38539e-05,0.000792623
-0.000270611,-0.000294438,0.000792623
0.000223485,0.00173685,0.000102089
-0.001458,-0.000452697,0.00107865
-0.000887729,-0.00174464,0.00107865
0.000384359,0.000275466,-0.000934584
0.000116008,-0.00139283,0.0005704
0.00248513,0.00360201,-0.00378325
0.00161467,0.00251938,-0.00227827
0.00111048,0.0029533,-0.00262354
0.0013641,0.00114969,-0.0014275
0.00449676,0.00561524,-0.0046107
0.00219633,0.00157242,-0.00180574
0.00141168,0.00337206,-0.00257778
0.00113069,0.00368786,-0.00292305
0.000866817,0.00333294,-0.00292305
0.00179783,0.003385,-0.00292305
0.00194568,0.00331718,-0.00232503
0.00235483,0.00492346,-0.00323852
0.00152051,0.00377945,-0.00275024
0.00207088,0.00449583,-0.00359596
0.00196148,0.00427389,-0.00408425
0.00166657,0.00430048,-0.00348623
0.00249378,0.00115928,-0.00198124
0.00122153,0.00316488,-0.00257926
0.0020682,0.00300632,-0.00257926
-0.00128619,-0.000579771,-0.000315194
-0.000906144,-0.00042772,-0.000803475
-0.000599391,-0.000547434,-0.000803475
-0.0013555,-0.000149753,-0.00129176
-0.000149282,0.00332979,-0.00352934
-0.00281211,0.00126761,-0.00173528
-0.00495841,-0.00191058,0.000656797
-0.00570124,-0.00570413,0.00366677
-0.00533136,-0.00490099,0.00366677
-0.00298628,-0.00452054,0.00458026
0.000128894,-0.0022804,0.00555682
0.00630334,-0.00614321,0.0100718
0.00914838,-0.00830566,0.013693
0.0147371,-0.0109505,0.0193029
0.0215464,-0.0142207,0.0243537
0.0268829,-0.0166337,0.0296803
0.0333156,-0.0175669,0.0342607
0.0548681,-0.0251998,0.0450362
0.0721443,-0.0221341,0.0539332
0.0744582,-0.0194218,0.0562749
0.0786692,-0.0220724,0.0602716
0.0852581,-0.0259663,0.0652631
0.0876031,-0.0241272,0.0662989
0.101584,-0.0268483,0.0758673
0.101544,-0.0283675,0.0795859
0.0990911,-0.026244,0.0795859
0.100149,-0.0247977,0.0805625
0.103912,-0.0242888,0.0835124
0.120881,-0.0305804,0.0923218
0.119305,-0.0295136,0.0926671
0.118395,-0.0281819,0.0933576
0.125055,-0.0293274,0.0992272
0.131139,-0.0308163,0.102074
0.13757,-0.0315723,0.105996
0.140054,-0.0255016,0.108843
0.145594,-0.0277901,0.112869
0.146525,-0.0232509,0.113961
0.141678,-0.0161807,0.110951
0.140004,-0.0152405,0.108823
0.144591,-0.01792,0.112864
0.143865,-0.0159802,0.112266
0.139482,-0.0122564,0.108678
0.150289,-0.00889965,0.107642
0.157668,-0.015572,0.113284
0.154309,-0.00569043,0.106033
0.154375,-0.00204489,0.107371
0.148607,0.000588429,0.103604
0.142054,-0.0014763,0.103006
0.143185,0.00146327,0.104387
0.13969,0.00439831,0.100589
0.137088,0.00856002,0.0971713
0.138612,0.00749117,0.0987907
0.13757,0.0119807,0.0972085
0.136124,0.0142464,0.0957849
0.135632,0.0146849,0.0952966
0.136899,0.018347,0.0921322
0.137822,0.0194677,0.0928227
0.143853,0.0229784,0.0877133
0.140493,0.0266796,0.0856131
0.139306,0.0293239,0.0847673
0.138012,0.0317181,0.0836755
0.137772,0.0298925,0.0833303
0.141474,0.0364561,0.0764249
0.143297,0.0367986,0.0769132
0.141455,0.0382102,0.0755321
0.138126,0.03716,0.0730907
0.137295,0.0353078,0.0721141
0.141843,0.0331761,0.0752786
0.139649,0.0356618,0.0733875
0.138023,0.0367906,0.0749697
0.137816,0.0386781,0.0743717
0.137885,0.0380056,0.0748599
0.132747,0.0435054,0.0705614
0.137187,0.0421153,0.0740655
0.145936,0.0367907,0.0817859
0.145346,0.0363645,0.0811879
0.145798,0.0361647,0.082333
0.14571,0.0378348,0.082333
0.144784,0.0403269,0.0814873
0.147459,0.0447447,0.0836435
0.146035,0.0459254,0.0828714
0.150218,0.0431424,0.0862894
0.150502,0.0482761,0.0862894
0.158953,0.0429714,0.0934822
0.155064,0.0472834,0.0897636
0.155135,0.0517124,0.0897636
0.161822,0.0460504,0.0949426
0.161529,0.0535733,0.0949426
0.156589,0.0652575,0.0893753
0.158986,0.0641161,0.0912977
0.160047,0.0658184,0.0926349
0.17106,0.0552818,0.101671
0.170302,0.047355,0.100127
0.17042,0.0475979,0.100473
0.176391,0.0753897,0.0938403
0.177523,0.0754631,0.0943285
0.171766,0.0775749,0.0895195
0.17264,0.0770942,0.0898648
0.174242,0.0763844,0.0909566
0.186008,0.0757512,0.0885398
0.191977,0.0700141,0.0940316
0.188877,0.0808976,0.0916899
0.188036,0.0835577,0.0904938
0.184762,0.0867777,0.0878643
0.185888,0.088504,0.0893292
0.183592,0.0891258,0.0873458
0.190299,0.0821413,0.0927169
0.187077,0.0918737,0.0905332
0.185119,0.0901737,0.088433
0.183793,0.0919056,0.087661
0.185473,0.0919426,0.0891258
0.1842,0.0942908,0.0876209
0.185235,0.0995131,0.0867074
0.18823,0.117585,0.0850515
0.188595,0.114663,0.0850515
0.190836,0.118463,0.0871517
0.194054,0.115659,0.0900197
0.189105,0.116053,0.0860982
0.188209,0.116695,0.0865865
0.184077,0.128876,0.0836772
0.186929,0.129503,0.0852967
0.191977,0.121821,0.0893526
