x_pos,y_pos,yaw
0,0,0
0,0,0
-1.15336e-05,-8.18628e-15,0.0004283
-0.000787804,1.17898e-08,0.0392066
0.00119607,1.36966e-06,0.157532
0.00137208,1.86522e-06,0.176054
0.00132587,1.79689e-06,0.148218
0.00168393,2.70443e-06,0.124691
0.00159071,2.56555e-06,0.118677
0.00234762,4.38305e-06,0.140263
0.00154102,2.40623e-06,0.148007
0.000955111,8.76784e-07,0.169134
-7.37178e-05,-2.31882e-06,0.268047
-7.37178e-05,-2.31882e-06,0.268047
0.00134016,5.09061e-06,0.241756
0.00131321,5.02832e-06,0.237864
0.00131321,5.02832e-06,0.237864
-0.00450982,-1.92197e-05,0.394281
-0.00458682,-1.96889e-05,0.404651
-0.00458682,-1.96889e-05,0.404651
-0.00577964,-2.82299e-05,0.442592
-0.00545667,-2.55394e-05,0.47666
-0.00634688,-3.31716e-05,0.512828
-0.00622703,-3.20409e-05,0.526592
-0.00623843,-3.18893e-05,0.526592
-0.00776264,-4.62472e-05,0.570737
-0.00763981,-4.4649e-05,0.565697
-0.00677836,-3.67786e-05,0.555997
-0.00677836,-3.67786e-05,0.555997
-0.00682947,-3.74738e-05,0.620053
-0.00598057,-2.82057e-05,0.60007
-0.0052956,-2.04116e-05,0.637027
-0.00709756,-4.09545e-05,0.583245
-0.00702788,-4.02236e-05,0.60032
-0.00707848,-4.04226e-05,0.568028
-0.00607723,-3.03992e-05,0.463095
-0.00631469,-3.22906e-05,0.494448
-0.00631469,-3.22906e-05,0.494448
-0.00618732,-3.12176e-05,0.537342
-0.00632716,-3.269e-05,0.523231
-0.00591946,-2.87779e-05,0.480696
-0.00623247,-3.13644e-05,0.449532
-0.00608878,-3.02601e-05,0.449532
-0.00599005,-2.96022e-05,0.454212
-0.00771814,-4.3212e-05,0.476057
-0.00767051,-4.28236e-05,0.472793
-0.00823176,-4.73918e-05,0.476873
-0.00883067,-5.24135e-05,0.461022
-0.00865543,-5.09998e-05,0.4501
-0.00865543,-5.09998e-05,0.4501
-0.00764307,-4.30695e-05,0.450444
-0.00768213,-4.33633e-05,0.437763
-0.00786909,-4.48332e-05,0.462201
-0.00764972,-4.3137e-05,0.496929
