x_pos,y_pos,yaw
0,0,0
-0.00115767,-0.00106692,0.000913491
0.00045753,-0.00528651,0.0039432
0.000611632,-0.00429237,0.0039432
0.000429289,-0.00470138,0.0039432
0.000674032,-0.00517447,0.0039432
0.00119923,-0.00393865,0.00228735
0.000513012,-0.00559421,0.00277564
-0.000721011,-0.0058247,0.00277564
-0.00121771,-0.00673096,0.00337366
-0.000983875,-0.00660549,0.00371892
-0.000153663,-0.00423117,0.00238171
0.000169345,-0.00275752,0.00178369
-0.000940245,-0.00436159,0.00247422
-0.000896618,-0.00218054,0.00170218
-0.00246439,-0.00258614,0.00170218
-0.00243784,-0.00251138,0.00170218
-0.00371231,-0.00274515,0.0023002
-0.0024319,-0.00310584,0.0023002
5.32252e-05,-0.00256136,0.00264547
0.000426768,-0.00364425,0.00299074
0.00172015,-0.00514304,0.0039673
-3.91601e-05,-0.00342129,0.00312157
0.000276684,-0.00410526,0.00371959
4.77221e-05,-0.00290807,0.00323131
0.000486703,-0.00415348,0.00357658
-0.000387928,-0.00282629,0.00266309
-0.000349911,-0.00259669,0.00300835
-0.000698408,-0.00230851,0.00252007
-0.000189998,-0.00206626,0.00252007
-0.000424306,-0.00215527,0.00286534
-0.000785466,-0.00198065,0.00252007
-0.00139461,-0.00253161,0.00329211
-0.000967638,-0.00240316,0.00329211
0.000270931,-0.00418604,0.00378039
-0.000440275,-0.00385124,0.00378039
-0.000349965,-0.00492011,0.00437841
-8.86371e-05,-0.0041595,0.00346492
0.00147905,-0.00337948,0.0028669
0.00162298,-0.00279673,0.00226888
0.00240715,-0.00076106,0.00167086
0.000585567,-0.00213237,0.0024429
0.000767223,-0.00263862,0.00293119
0.00179754,-0.00337825,0.00352921
0.000953917,-0.00120856,0.00261571
0.00266158,-0.0030714,0.00459912
0.00349279,-0.000744558,0.00411084
0.0043717,-0.0001593,0.00376557
0.00736122,-0.00303155,0.00644
0.00709106,-0.00427732,0.00773187
0.0125067,-0.00466913,0.0105999
0.0132957,-0.00630438,0.0131135
0.0374254,-0.00486788,0.0175485
0.0536893,-0.00503746,0.0247164
0.0616841,-0.00434434,0.0293615
0.0701977,-0.00737163,0.0345978
0.0764568,-0.0136414,0.0440533
0.0911733,-0.0184642,0.0556597
0.099172,-0.0181643,0.060896
0.102249,-0.017314,0.0624782
0.104294,-0.0196616,0.0653669
0.110396,-0.0228142,0.0704413
0.120851,-0.0266078,0.0791623
0.122142,-0.0240801,0.0804071
0.123898,-0.0233921,0.0818307
0.127267,-0.024636,0.0844602
0.13476,-0.0237646,0.0902169
0.137767,-0.0258419,0.0923453
0.139282,-0.0259159,0.0938102
0.143805,-0.0251367,0.0975448
0.150836,-0.0273363,0.103229
0.152765,-0.0276645,0.104693
0.158084,-0.0287538,0.108523
0.165603,-0.0289993,0.113418
0.166645,-0.0304883,0.114263
0.167756,-0.0288135,0.115601
0.165473,-0.0184046,0.114624
0.161215,-0.0117705,0.109275
0.161951,-0.014157,0.109275
0.160797,-0.0101788,0.108677
0.15924,-0.00562033,0.107133
0.159327,-0.00492531,0.107133
0.155107,-0.00356034,0.103273
0.155479,-0.00458855,0.102928
0.15328,0.00185701,0.10069
0.151296,0.00617403,0.0992252
0.156,0.00817453,0.094318
0.15472,0.00862495,0.0932262
0.153574,0.00951843,0.0925356
0.155463,0.00946527,0.0939167
0.149878,0.0154453,0.0890707
0.147851,0.0206782,0.0874884
0.146535,0.0235803,0.0863966
0.143023,0.0271785,0.0831211
0.140444,0.0296565,0.0808571
0.142009,0.0295964,0.0818929
0.13316,0.0357388,0.0740956
0.133489,0.0371135,0.0737503
0.134028,0.0390726,0.0737503
0.131807,0.0434808,0.0709882
0.131416,0.0397421,0.0702162
0.124994,0.0431467,0.0648896
0.125341,0.0441225,0.0652349
0.124759,0.0481747,0.0597758
0.123691,0.0463658,0.0584385
0.120542,0.0473201,0.055925
0.123969,0.0452718,0.0584855
0.125922,0.0458346,0.0595774
0.128254,0.0490276,0.0570638
0.13259,0.0486662,0.0601903
0.13406,0.0475368,0.061036
0.127791,0.0543341,0.0555334
0.129288,0.055551,0.0560217
0.139267,0.052966,0.0636018
0.159166,0.0561519,0.06231
0.163303,0.0533631,0.0651361
0.165449,0.0515777,0.0662812
0.183488,0.0555009,0.0666265
0.17979,0.0618142,0.063351
0.180957,0.0619506,0.0643868
0.180317,0.0659129,0.0643868
0.179416,0.069827,0.0637888
0.181383,0.0704738,0.0648246
0.186851,0.0670472,0.0688213
0.18806,0.0692951,0.0688213
0.184387,0.0760508,0.0646781
0.189358,0.0759263,0.0680078
0.188746,0.0791065,0.0675195
0.1866,0.083658,0.0655664
0.198989,0.082494,0.072583
0.220354,0.0874812,0.0713381
0.217127,0.0790734,0.0684701
0.212933,0.0808878,0.0641716
0.22721,0.0881475,0.0735321
0.226929,0.0898311,0.0725556
0.226878,0.0883544,0.0725556
0.226108,0.0888891,0.0717098
0.224723,0.0916867,0.0696382
0.225052,0.0871814,0.0696382
0.224494,0.0893364,0.0690402
0.230976,0.0865976,0.073923
0.233677,0.08908,0.073151
0.234141,0.0876803,0.0734963
0.233497,0.0926886,0.0703507
0.232209,0.0900717,0.0690135
0.233989,0.0903569,0.0703054
0.237594,0.0939372,0.072348
0.237009,0.0936484,0.071576
0.242097,0.0971041,0.0694476
0.241671,0.10118,0.0691023
0.240807,0.101496,0.0678105
0.24167,0.100198,0.0681557
0.246316,0.109513,0.0675577
0.248189,0.106647,0.0688496
0.246454,0.111348,0.066336
0.250515,0.106575,0.0693261
0.271629,0.105084,0.0666517
0.275224,0.107812,0.0681567
0.298346,0.10464,0.0690701
