x_pos,y_pos,yaw
0,0,0
-0.000122571,0.00104865,-0.11535
0.000592505,0.0012712,-0.0873734
-0.00354104,0.00212178,-0.107156
0.003907,0.000624821,-0.107156
0.00537946,-0.0012457,-0.0586991
0.00328043,0.00189607,-0.135316
0.00327229,0.00290541,-0.183772
0.0133957,0.00542114,-0.381596
0.0137834,0.00793205,-0.381596
0.0113629,0.00754345,-0.440943
0.00863243,0.00784494,-0.412967
0.00743304,0.0118712,-0.555619
0.00875564,0.00536709,-0.297689
0.00993466,0.00705779,-0.341923
0.0120497,0.00595663,-0.3699
0.0113215,0.00534824,-0.341923
0.0106025,0.00724186,-0.376187
0.0112213,0.00537483,-0.376187
0.0119735,0.000989438,-0.304861
0.00906661,0.00127454,-0.304861
0.0075203,0.00987263,-0.608119
0.00659828,0.00494193,-0.379978
0.00787586,0.00311762,-0.268072
0.00838991,0.00336008,-0.302336
0.00669431,0.00482605,-0.397209
0.00869065,0.00392502,-0.377426
0.00623823,0.00258382,-0.32897
0.00607488,0.00324352,-0.300993
0.000692579,0.00937661,-0.515885
0.00345161,0.010029,-0.515885
0.00486759,0.0102131,-0.555449
0.0136585,0.00567454,-0.410079
0.0120368,0.00642996,-0.429862
0.0151956,0.00866576,-0.520516
0.0131731,0.0163376,-0.782212
0.0142102,0.00810993,-0.574733
0.0130854,0.00748968,-0.546756
0.009699,0.0116881,-0.609314
0.0137897,0.0106412,-0.589531
0.0140617,0.00947177,-0.472497
0.0116287,0.0105661,-0.565285
0.0132798,0.0083449,-0.479055
0.0168308,0.00695988,-0.459273
0.0190771,0.00710581,-0.459273
0.02783,0.00221955,-0.415038
0.0266921,0.00303649,-0.380774
0.0285099,0.00163772,-0.34651
0.0283856,0.000106236,-0.306946
0.0268996,-0.000934672,-0.216292
0.0268213,0.00057065,-0.216292
0.0339254,0.000965976,-0.341406
0.0218535,0.00278105,-0.321624
0.0321547,0.00269131,-0.321624
0.0321731,0.000416066,-0.301842
0.0231446,-4.97103e-05,-0.253385
0.0243607,0.000359914,-0.281361
0.0240084,-0.00308299,-0.11585
0.0191752,-0.00127358,-0.189869
0.0189753,-0.000304094,-0.229434
0.02165,-0.00122203,-0.19517
0.020084,-0.00132914,-0.146713
0.0317703,-0.00338822,-0.102478
0.0364024,-0.00354572,-0.171006
0.0355108,-0.00650853,-0.0474658
0.029471,-0.00581632,-0.0132018
0.0348259,-0.00366374,-0.121554
0.0322905,-0.00181117,-0.170011
0.0372176,0.000792215,-0.214245
0.0337507,0.00161881,-0.290862
0.0298118,-0.00502735,-0.109554
0.0288275,-0.00405427,-0.161893
