x_pos,y_pos,yaw
0,0,0
-0.00103932,0.00168491,-0.034264
-0.00162449,0.00273759,-0.093611
-0.0014924,0.00268045,-0.0656346
-0.0016281,0.000729486,-0.0132954
8.38307e-05,0.00426383,-0.0846217
0.00071033,0.00265576,-0.0846217
-0.00157956,0.00401809,-0.0846217
-0.000964406,0.00223176,-0.0503577
-0.000758922,0.00245212,-0.0503577
-0.00260235,0.00352994,-0.0503577
-0.00253298,0.00225323,-0.0223812
0.00018453,0.00397706,-0.0783341
-0.00296042,0.00296849,-0.0783341
-0.00406394,0.00608018,-0.140891
-0.00535089,0.00757906,-0.180456
-0.00449737,0.00578218,-0.128117
-0.00672359,0.00779075,-0.190674
-0.00704827,0.00526602,-0.125064
-0.00711979,0.00387093,-0.0766069
-0.00648993,0.00437742,-0.104583
-0.00623038,0.00596619,-0.104583
-0.00602242,0.00491926,-0.104583
-0.00363948,0.00464724,-0.104583
-0.00593337,0.00625045,-0.15304
-0.00736081,0.00606574,-0.125064
-0.00706215,0.00630708,-0.125064
-0.00566696,0.00797474,-0.15304
-0.0066658,0.0131604,-0.337557
-0.00712103,0.0113836,-0.317775
-0.00973453,0.0114348,-0.317775
-0.00781573,0.0137844,-0.386303
-0.00895027,0.0107557,-0.262762
-0.0086116,0.0103812,-0.262762
-0.00732125,0.00967726,-0.200205
-0.00736585,0.0101865,-0.252544
-0.00386534,0.0119886,-0.304884
-0.00190601,0.0107442,-0.324666
-0.000242434,0.0115832,-0.324666
0.00107335,0.00974894,-0.280431
0.00167417,0.012546,-0.36666
-7.86152e-05,0.0135089,-0.36666
-0.000881087,0.0119191,-0.327096
0.0022008,0.0122248,-0.327096
-0.000456616,0.0118585,-0.36136
-0.000143631,0.0113782,-0.327096
-0.00358003,0.0123307,-0.355072
0.00320841,0.0119766,-0.320808
-0.00129394,0.0112158,-0.261461
-0.0029493,0.010719,-0.261461
0.00238065,0.00789172,-0.190135
-0.0012503,0.0091736,-0.2297
-0.00296681,0.0126851,-0.402158
-0.000270749,0.0124308,-0.362593
0.00385709,0.0082185,-0.190135
0.00248067,0.00781056,-0.170353
0.00320317,0.00986749,-0.218809
0.00443401,0.00953562,-0.218809
0.00357346,0.00758638,-0.246786
0.00413201,0.00910945,-0.29102
0.00584217,0.00747892,-0.238681
0.00708133,0.0105607,-0.310007
0.00850078,0.00925025,-0.221538
0.00859416,0.00934801,-0.221538
0.0081069,0.00712454,-0.147519
0.00968679,0.00804609,-0.216047
0.00621486,0.00755218,-0.216047
0.00918151,0.0071728,-0.181783
0.00655956,0.00385257,-0.0566688
0.00621137,0.00836338,-0.207327
0.00497406,0.00896226,-0.227109
0.00467175,0.0064414,-0.150492
0.00790175,0.00492409,-0.122516
0.00417426,0.00685335,-0.150492
0.00750532,0.00394263,-0.0911453
0.00644474,0.00125252,-0.00958065
0.00865369,0.00312967,-0.00958065
0.00690041,0.00379738,-0.029363
0.00484257,0.000948205,0.0331943
0.00573809,0.00446883,-0.0324163
0.00749102,0.00339303,-0.0324163
0.00681142,0.00401139,-0.012634
0.00775097,0.00168583,0.0153425
0.00476722,0.00228137,-0.00443988
0.00337904,0.00260079,0.0298241
0.00311198,0.00082595,0.106441
0.00563512,-0.000522329,0.0784644
0.00549571,-0.00155885,0.146992
0.00574956,0.000890323,0.102758
0.00688063,-0.00265988,0.191227
0.00951501,-0.00213266,0.191227
0.00959475,-0.00220693,0.211009
0.0105864,-0.00465545,0.211009
0.0105069,-0.00605943,0.290139
0.0111677,-0.00412878,0.208574
0.0113493,-0.00598021,0.287703
0.010049,-0.00508472,0.243469
0.0120115,-0.00515616,0.223686
0.00996249,-0.00470463,0.142122
0.00946528,-0.00551202,0.21065
0.00937297,-0.00560689,0.21065
0.015408,-0.00732151,0.315328
0.0115429,-0.00413991,0.255981
0.010199,-0.00573245,0.321592
0.0110401,-0.00441045,0.255981
0.0137132,-0.00369924,0.255981
0.0158122,-0.00417136,0.318538
0.013022,-0.00465137,0.298756
0.0138139,-0.00359503,0.264492
0.0141403,-0.00455476,0.330103
0.0129211,-0.00550341,0.31032
0.0109255,-0.00540876,0.31032
0.00999739,-0.00379859,0.266086
0.0107902,-0.00655019,0.410103
0.00995852,-0.00671379,0.382127
0.0101388,-0.0061139,0.362344
0.00861905,-0.00572041,0.342562
0.00946923,-0.00454951,0.286609
0.0108216,-0.00544426,0.326174
0.0106718,-0.00355277,0.263617
0.00746381,-0.00246688,0.229353
0.00887417,-0.00258672,0.20957
0.00612947,-0.00197093,0.20957
0.0084543,-0.00481464,0.258027
0.00782316,-0.00490577,0.292291
0.00928521,-0.00593943,0.312073
0.00892863,-0.00622966,0.312073
0.0113332,-0.00606264,0.312073
0.0129181,-0.00863552,0.312073
0.0149073,-0.00658538,0.277809
0.0179899,-0.00798098,0.297592
0.0163043,-0.00662069,0.269615
0.0167744,-0.0061031,0.249833
0.0169195,-0.00591484,0.249833
0.0147646,-0.00828281,0.354511
0.0187574,-0.00449425,0.266042
0.0175671,-0.00535665,0.285824
0.0182444,-0.00685824,0.305607
0.0158838,-0.00707999,0.266042
0.0149865,-0.00632454,0.266042
0.0210469,-0.00761818,0.192023
0.0208703,-0.00753297,0.192023
0.0215278,-0.00715722,0.211805
0.0247475,-0.00294767,0.123336
0.0240913,-0.00505954,0.1576
0.0228594,-0.00418922,0.123336
0.0223889,-0.00559759,0.162901
0.0210212,-0.00163315,0.00218822
0.0217188,-0.00583694,0.1909
0.0200631,-0.00549179,0.109335
0.018457,-0.0073908,0.109335
0.0147038,-0.00945575,0.0895528
0.0185245,-0.00603499,-0.0475033
0.0183047,0.00167667,-0.393554
0.0154804,0.00374347,-0.54932
0.0273327,0.00568435,-0.759609
0.0461082,0.000872242,-0.811948
0.0560303,-0.00261913,-0.73793
0.0597829,-0.00786555,-0.593912
