x_pos,y_pos,yaw
0,0,0
0,0,0
-0.000374565,2.43614e-13,-0.01235
-0.000460874,1.86333e-08,-0.0566022
-6.96489e-05,-3.68527e-07,-0.0281844
-0.000201062,-3.44673e-07,-0.04242
-0.00016267,-3.8058e-07,-0.0237603
-0.00016267,-3.8058e-07,-0.0237603
0.000397638,-4.8048e-07,-0.0133842
0.000361718,-4.23717e-07,0.00454055
0.00127513,-3.49259e-07,-0.0206675
0.000985073,-2.53551e-07,-0.0189678
0.00123806,-2.65966e-07,0.0169359
0.00100818,-3.13816e-07,0.0169357
-0.000285839,-8.60814e-07,-0.0568446
-0.000805752,-2.24142e-07,-0.0688382
-0.000392107,-7.7859e-07,-0.0567104
-0.00166557,4.99871e-07,-0.0917024
-0.000966641,-6.6794e-07,-0.107053
-0.00132921,-5.97406e-07,-0.0773338
-0.00138806,-5.56599e-07,-0.0740424
-0.00356917,2.29328e-06,-0.0779722
-0.0037219,2.52049e-06,-0.0518726
-0.0030536,1.91319e-06,-0.0518726
-0.00356489,2.33661e-06,-0.0580252
-0.00448789,3.38422e-06,-0.0903875
-0.00448789,3.38422e-06,-0.0903875
-0.00166189,-1.22644e-06,0.11694
-0.00260098,-3.4978e-06,0.092141
-0.00248352,-3.47686e-06,0.0983017
-0.00142933,-1.55001e-06,0.132972
-0.000979783,-4.43816e-07,0.112945
-0.00090061,-1.07903e-07,0.164535
-0.00172197,-2.64623e-06,0.164535
-0.00161148,-1.73649e-06,0.162773
-0.00329827,-7.55741e-06,0.0146925
-0.00192468,-7.21378e-06,0.0803623
-0.00206045,-8.16608e-06,0.101517
-0.00213095,-8.17164e-06,0.0991883
-0.00274266,-9.36832e-06,0.0607386
-0.00235666,-8.95363e-06,0.0559955
-0.00235666,-8.95363e-06,0.0559955
-0.00224504,-8.79284e-06,0.0096795
-0.00225275,-8.83094e-06,0.0657358
-0.00286147,-9.44895e-06,0.0162677
-0.00396663,-9.60991e-06,0.0162734
-0.0023989,-9.17601e-06,-0.0410196
-0.00221628,-9.43777e-06,-0.0320533
-0.00232132,-9.40669e-06,-0.00121905
-0.00242414,-9.36283e-06,-0.001219
-0.00187727,-9.30027e-06,0.00640935
