x_pos,y_pos,yaw
0,0,0
7.35946e-05,-0.00881425,0.00192237
-0.0059369,-0.00688627,-0.0011658
-0.00533507,-0.00405042,0.000378284
-0.00629815,-0.00917721,0.00230065
-0.00391455,-0.0142494,0.00321414
-0.00268061,-0.0185577,0.0053978
-0.00819918,-0.0135582,0.00664268
-0.00598006,-0.0107261,0.00664268
-0.00540051,-0.003066,0.00124943
-0.00580188,-0.00174204,0.00373919
-0.00664139,0.0153666,-0.000854298
-0.000177657,0.0202498,-0.00205034
-0.00681264,0.0237323,-0.00656529
-0.00546513,0.0147322,-0.00190738
0.000118391,0.0145722,0.000558318
-0.00877774,0.0239421,-0.005589
-0.0048709,0.0370073,-0.0104104
-0.00802306,0.0318558,-0.00543087
-0.00532852,0.0291957,-0.00543087
-0.00576448,0.03391,-0.00602889
-0.00597422,0.0424501,-0.0101432
-0.00448966,0.0478307,-0.0129694
-0.0060655,0.0495695,-0.0129694
-0.00782347,0.0483282,-0.0116321
-0.0135992,0.0373308,-0.00876414
-0.0139814,0.0505809,-0.0142014
-0.0106652,0.041437,-0.0115947
-0.00834822,0.0395738,-0.00910496
-0.00646308,0.0307558,-0.00399547
-0.00612797,0.0317404,-0.00399547
-0.00943125,0.0460993,-0.00761666
-0.0101494,0.0515534,-0.00419869
-0.00759208,0.0486825,-0.00114937
-0.00559958,0.0419709,0.00404114
-0.0040963,0.0564003,-0.00511336
-0.00587316,0.0495406,5.41332e-05
-0.00373589,0.0582457,-0.0023129
-0.0024878,0.0629018,-0.00139941
-0.00393098,0.0488949,0.000942307
-0.00418549,0.0684676,-0.00580589
0.00105112,0.0532229,-0.00133071
-0.00418216,0.0543203,-0.00018559
-0.0083862,0.0602104,0.00314405
-0.0144516,0.0547901,-0.00150105
-0.00969677,0.042611,0.00148905
-0.0118711,0.054799,6.54782e-05
-0.00901136,0.0532938,0.00140269
-0.01369,0.0518712,0.00200071
-0.0163663,0.0491195,0.00303651
-0.0145298,0.0461618,0.00212302
-0.0112629,0.0509649,2.28446e-05
-0.015555,0.0632347,-0.00477376
-0.0101463,0.0604804,-0.00408323
-0.0115803,0.0567763,0.000173512
-0.00948558,0.0743124,-0.00660113
-0.00492377,0.0664284,-0.00263431
-0.00584105,0.0605231,-0.00214603
-0.0106288,0.0753494,-0.006202
-0.00965063,0.0822439,-0.006202
-0.0148492,0.0905873,-0.00654727
-0.010871,0.0982718,-0.0135809
-0.0119127,0.103351,-0.0100599
-0.0101438,0.114406,-0.0158063
-0.0126396,0.111078,-0.0139793
-0.0106882,0.10561,-0.0139793
-0.0141758,0.112508,-0.0184008
-0.0141565,0.127628,-0.023522
-0.012002,0.101807,-0.0170719
-0.0159255,0.110927,-0.0222162
-0.0191679,0.116206,-0.0250634
-0.0196373,0.111409,-0.0227473
-0.0201122,0.120695,-0.024958
-0.0171963,0.11861,-0.0265021
-0.0166542,0.114842,-0.0234724
-0.0189446,0.121093,-0.029342
-0.0161204,0.114953,-0.0281968
-0.0148861,0.117496,-0.0247615
-0.0154541,0.111716,-0.0234696
-0.0185945,0.101342,-0.0187735
-0.00982872,0.112738,-0.0217636
-0.0105885,0.105276,-0.0183983
-0.00792794,0.111284,-0.0201247
-0.00716305,0.10891,-0.0174502
-0.0116463,0.115317,-0.0195786
