x_pos,y_pos,yaw
0,0,0
-0.00451047,-0.00595452,0.000976563
-0.0112525,0.0307259,-0.012778
-0.0101667,0.0263838,-0.0132663
-0.0093095,0.00652474,-0.00702276
-0.017622,-0.00227064,-0.00884975
-0.0158052,0.00218688,-0.010432
-0.0157203,0.0147944,-0.0143988
-0.0138605,0.00921432,-0.0127429
-0.00753468,-0.00451078,-0.00291036
-0.014139,0.00296685,-0.006981
-0.0124034,0.0139157,-0.0109177
-0.0200541,0.0153152,-0.0136581
-0.0195261,0.00843316,-0.00771792
-0.0180756,-0.00910739,-0.00414645
-0.0194934,-0.00733286,-0.00557002
-0.0260914,-0.0083035,-0.00995097
-0.0293452,0.000473237,-0.0164288
-0.0146726,0.0194282,-0.0225372
-0.0159904,0.0178093,-0.0246934
-0.021052,0.0162474,-0.0256069
-0.0127736,0.000552344,-0.0194984
-0.0156612,0.00845787,-0.0234502
-0.0230906,0.00226824,-0.0224736
-0.0232685,0.0099827,-0.0279546
-0.0206712,0.00708556,-0.026978
-0.017239,-0.000697112,-0.0188661
-0.0181309,0.00320738,-0.0208192
-0.0136502,0.00996831,-0.0228324
-0.0173112,0.0282581,-0.0311834
-0.0153863,0.00789171,-0.0194849
-0.0241556,0.00913609,-0.0296454
-0.0227649,0.00823792,-0.0282218
-0.0232764,0.0288485,-0.0366721
-0.0292089,0.0298003,-0.0360741
-0.0237579,0.0365431,-0.0383902
-0.0259597,0.0428668,-0.0434528
-0.0246138,0.0504863,-0.0405848
-0.0260557,0.0406472,-0.0405848
-0.0297408,0.0463153,-0.0459781
-0.0289124,0.0463764,-0.0452875
-0.0317268,0.0494405,-0.046201
-0.0312203,0.0425293,-0.0442787
-0.0313603,0.0569847,-0.0470836
-0.026925,0.0557155,-0.0453231
-0.0229925,0.0574802,-0.0459211
-0.0264792,0.0581283,-0.0474652
-0.0233354,0.0579219,-0.0474652
-0.0132765,0.0496783,-0.0416775
-0.0169238,0.0560875,-0.04538
-0.017894,0.0601298,-0.0436195
-0.0153457,0.0497667,-0.04099
-0.0179833,0.066182,-0.0449569
-0.0161518,0.0534636,-0.0397092
-0.0168315,0.0488099,-0.0379829
-0.0172356,0.0330095,-0.0340011
-0.0131616,0.0318505,-0.0299894
-0.0139524,0.0211389,-0.0316809
-0.0147925,-0.000629064,-0.0253615
-0.0140609,-0.00262996,-0.0293132
-0.0128623,0.00963004,-0.0325151
-0.0122207,0.0152286,-0.035717
-0.0150913,0.00835177,-0.0353717
-0.00880618,0.00342746,-0.031527
-0.0154941,0.00228256,-0.032723
-0.0137246,0.0145144,-0.0372248
-0.016384,0.00624948,-0.0333491
-0.0190256,0.0118471,-0.0366788
-0.0128204,-0.00400375,-0.0296876
-0.0133513,0.00384996,-0.0338164
-0.00986212,0.00668112,-0.0330444
-0.0115493,0.00173603,-0.0308882
-0.00914169,-0.00346737,-0.0272018
-0.00982852,0.00377579,-0.027547
-0.00244519,-0.0111816,-0.0206763
-0.005285,-0.0231344,-0.0164056
0.000671085,-0.0361892,-0.00899236
-0.00326172,-0.026012,-0.0141367
-0.00104061,-0.0295247,-0.00725732
-0.0060591,-0.0401983,-0.0043686
-0.0083305,-0.0284214,-0.00692917
-0.00673585,-0.0356624,-0.00448777
-0.00665515,-0.0517912,0.0015913
-0.0108527,-0.0381448,-0.00800816
-0.00921653,-0.0427917,-0.00635231
-0.0161438,-0.0385406,-0.010623
-0.018174,-0.00567175,-0.0271131
-0.0160125,-0.015296,-0.0203738
-0.021739,-0.00574962,-0.0255872
-0.0209914,-0.00125379,-0.0255872
-0.019409,-0.0104114,-0.0225184
-0.0244643,-0.0158004,-0.0213223
-0.0292476,-0.0135939,-0.0252892
-0.0315015,-0.0271506,-0.0185145
-0.0292768,-0.0253998,-0.0192866
-0.0250766,-0.0292945,-0.0159929
-0.0327428,-0.0281876,-0.0218827
-0.032892,-0.0201536,-0.0255692
-0.0341993,-0.0135817,-0.0310718
-0.0252594,-0.0369694,-0.0158408
-0.0331979,-0.0314965,-0.0237216
-0.0228219,-0.037516,-0.0168249
-0.0257746,-0.0433254,-0.0160529
-0.0287396,-0.0257429,-0.0199131
-0.0303296,-0.0388205,-0.0214181
-0.0272335,-0.0247629,-0.0238102
-0.0276769,-0.0230903,-0.0296287
-0.0246507,-0.0257891,-0.0275003
-0.0251453,-0.0196191,-0.030197
-0.022163,-0.0221548,-0.0268673
-0.023784,-0.0362164,-0.0232959
-0.0233189,-0.0352004,-0.0237841
-0.0234415,-0.0357719,-0.0243822
-0.0118746,-0.0349678,-0.0257194
-0.0213888,-0.0141846,-0.0311016
-0.0128804,-0.0201824,-0.0300097
-0.0148973,-0.0220775,-0.0300097
-0.0180642,-0.0215865,-0.0306077
-0.0151719,-0.00950203,-0.0350829
-0.0148361,-0.0130634,-0.0330697
-0.0134318,-0.0238468,-0.0287711
-0.00835079,-0.0281877,-0.0274793
-0.00678048,-0.0449954,-0.0206871
-0.00806492,-0.0391874,-0.0213776
-0.00449671,-0.0316137,-0.0235613
-0.00827238,-0.0289789,-0.0220563
-0.00541362,-0.0172795,-0.0260679
-0.00469107,-0.0341399,-0.0219827
-0.0027962,-0.0310734,-0.0223279
-0.00310921,-0.0339973,-0.0209907
-0.00266787,-0.0397211,-0.0162441
-0.00195062,-0.0395352,-0.0192934
7.36939e-05,-0.0369934,-0.0189481
-0.00661632,-0.0353789,-0.0215087
-0.0104263,-0.0334413,-0.0236649
-0.0123901,-0.011256,-0.0316882
-0.0111008,-0.0233019,-0.0276029
-0.00885972,-0.0259105,-0.0255897
-0.00551709,-0.044564,-0.0182573
-0.00820728,-0.0465569,-0.0182573
-0.0075763,-0.0429351,-0.0176593
-0.00774633,-0.0394342,-0.0220538
-0.0132777,-0.0266431,-0.0247725
-0.0102688,-0.0302479,-0.0227009
-0.00820784,-0.0301732,-0.0202111
-0.0092044,-0.0152226,-0.0258104
