x_pos,y_pos,yaw
0,0,0
0,0,0
-9.31858e-05,4.14836e-14,-0.0112616
-0.00027065,3.64419e-09,0.0716528
-0.00510084,-7.14143e-06,0.00500698
-0.00787503,-7.30251e-06,-0.0848349
-0.00830992,-7.92353e-06,-0.00510248
-0.00756775,-5.94512e-06,0.142832
-0.0061351,-2.10832e-06,0.162229
-0.00570825,1.67131e-06,0.233325
-0.00711262,-7.45012e-06,0.151579
-0.00521534,-1.96266e-06,0.280054
-0.00521534,-1.96266e-06,0.280054
-0.00362088,3.15428e-06,-0.0401106
-0.000512933,-1.49769e-05,0.375946
0.000540315,-8.04378e-06,0.395091
-0.00218286,-2.43262e-05,0.376851
-0.00351051,-3.80918e-05,0.223179
-0.00442986,-4.99301e-05,0.323957
-0.00332406,-3.6387e-05,0.405042
-0.00079281,-3.75144e-05,0.473409
-0.00235232,-3.56216e-05,0.364654
-0.00893687,-9.85715e-05,-0.0902342
-0.0110751,-9.13006e-05,0.186935
-0.00974539,-8.71312e-05,0.169189
-0.00717405,-7.74779e-05,-0.195088
-0.0042059,-9.22958e-05,-0.0712349
-0.00542272,-9.28122e-05,-0.14258
-0.00568732,-8.72958e-05,-0.223292
-0.00806227,-7.99311e-05,-0.307805
-0.0103754,-6.39056e-05,-0.0773948
-0.0112971,-6.32379e-05,-0.175796
-0.0111786,-5.96152e-05,-0.115579
-0.0129148,-6.74062e-05,-0.187116
-0.0191746,-3.75847e-05,-0.394868
-0.0160403,-5.94649e-05,-0.410962
-0.0162657,-7.26986e-05,-0.305414
-0.0205485,-4.22629e-05,-0.336261
-0.0223986,-4.61631e-05,-0.342775
-0.0224991,-3.70518e-05,-0.418224
-0.0212175,-4.578e-05,-0.412034
-0.0218677,-3.74291e-05,-0.276414
-0.019694,-4.62853e-05,-0.15693
-0.018534,-4.25966e-05,-0.44358
-0.0167039,-5.52381e-05,-0.348535
-0.0171027,-5.6856e-05,-0.487825
-0.0198539,-2.70222e-05,-0.513674
-0.0197468,-2.20789e-05,-0.571859
-0.0182457,-3.88535e-05,-0.681826
-0.0184947,-4.87109e-05,-0.637577
-0.0210132,-1.61132e-05,-0.965206
-0.0223787,-1.25708e-06,-0.946314
