x_pos,y_pos,yaw
0,0,0
-0.00420598,0.0152489,-0.00862479
0.00278229,0.0174748,-0.0120077
-0.014453,0.006585,-0.0101484
-0.0112698,0.0120949,-0.0101484
-0.00941774,0.0132319,-0.0106367
-0.007791,0.0155132,-0.00949155
-0.00647925,0.00405123,-0.00607358
-0.00604403,0.000133259,-0.0015984
-0.00579417,-0.00455251,0.000612387
-0.00276403,-0.0121579,0.00436295
-0.00669595,0.000526682,-0.00272135
-0.0143668,0.016342,-0.00897441
-0.0102273,0.0092628,-0.00690281
-0.00307,-0.00262296,-9.3069e-05
-0.0133612,0.00905309,-0.00748212
-0.0112077,0.000947736,-0.00345565
-0.008348,0.0123825,-0.00990578
-0.00149139,0.00367721,-0.00615522
-0.00296135,-0.00359016,-0.00314525
-0.00288967,-0.00837784,-0.000426613
-0.00584121,-0.00693217,0.00380203
-0.00389001,-0.003089,0.00494715
5.05499e-05,-0.00669255,0.00113355
-0.012679,-0.00137767,-0.00558809
-0.00727178,-0.00944246,0.00549283
-0.00325762,0.00831839,-0.00174133
-0.0088355,0.00555922,1.9189e-05
-0.010022,0.0230068,-0.00837445
-0.0118065,0.0219095,-0.00837445
-0.00605336,0.0078689,-0.0035161
-0.00906454,-0.000220727,-0.00165678
-0.00484844,0.0178709,-0.0071486
-0.00391071,0.0195412,-0.00913201
0.000275444,0.0172898,-0.00666631
0.00737795,0.011659,-0.00552119
0.00244241,0.0337851,-0.0146626
0.0017254,0.0324281,-0.0138906
0.00893,0.021322,-0.0121991
0.0140001,0.0359296,-0.0159497
0.0196182,0.028965,-0.00919269
0.0144733,0.0348284,-0.0136143
0.0149406,0.0322798,-0.00976954
0.010165,0.0435065,-0.0119532
0.0158676,0.0378638,-0.0101262
0.0199595,0.04319,-0.0145613
0.0228256,0.0314316,-0.00875295
0.0242189,0.0205772,-0.00699243
0.0220229,0.0411881,-0.0173159
0.0289347,0.0327729,-0.0123604
0.0254668,0.0297453,-0.0129584
0.0241394,0.025309,-0.0106423
0.0281308,0.0360803,-0.0106423
0.0213344,0.0393042,-0.0125334
0.023262,0.0580087,-0.0209057
0.02766,0.0426757,-0.0142375
0.0390723,0.0347755,-0.012618
0.0377545,0.0528393,-0.0187069
0.0407178,0.037795,-0.0127267
0.0296067,0.0457355,-0.0161446
0.0389455,0.0461857,-0.0179716
0.0393827,0.0404207,-0.0179716
0.0390195,0.0319289,-0.01396
0.0413536,0.0195432,-0.0105947
0.0332396,0.0390497,-0.0185659
0.0386942,0.0251815,-0.0126257
0.0340596,0.00665513,-0.0119351
0.034462,0.0254402,-0.0150616
0.0377251,0.0297944,-0.012365
0.0377627,0.0226548,-0.0147819
0.0361786,0.0160292,-0.00931183
0.0341892,0.00542367,-0.00871381
0.0429442,0.00412731,-0.00742194
0.044881,0.00321735,-0.00351569
0.0445033,-0.0132514,0.00335505
0.0435904,-0.00303224,0.00131243
0.0426713,-0.0153019,0.00538307
0.0407646,-0.0123117,0.00116854
0.0430329,-0.00074841,-0.00264506
0.0354401,-0.00556862,-0.00415004
0.0315802,-0.00166013,-0.00544191
0.0289468,-0.0167217,0.00119046
0.0312679,-0.00570127,-0.00430135
0.0238895,-0.00804617,0.00186532
0.0253452,-0.00687547,-0.00188524
0.0274865,0.00587379,-0.00706425
0.0259815,-0.0116213,-0.00502162
0.0229813,-0.0120943,-0.00433109
0.0221411,-0.00934221,-0.00579593
0.0261034,-0.0079794,-0.00677249
0.0262683,0.000851364,-0.00677249
0.0271952,-0.00937178,-0.00140139
0.0274819,-0.0116694,0.000990686
0.0290997,-0.0187915,0.00385869
0.0271511,-0.0189088,0.00103256
0.0284993,-0.0169832,-0.00125769
0.0297551,-0.0180925,0.002054
0.0323711,-0.0289044,0.00609525
0.031422,-0.0243319,0.00333311
0.0285345,-0.0278413,0.00157259
0.0176027,-0.0253398,0.00122732
0.0149378,-0.0175828,-0.00116476
0.00881854,-0.0211974,-0.000819491
0.0110516,-0.00231749,-0.0121819
0.00952025,-0.00984158,-0.00777385
0.0060679,-0.0223141,-0.00201709
0.00113613,-0.0188722,-0.00779452
0.00105907,-0.0183296,-0.0066494
0.00248632,-0.014519,-0.00360009
0.00274503,-0.00704747,-0.00781461
-0.000523825,-0.0296515,-0.00157109
-0.000183522,-0.0120205,-0.0088627
0.00865903,-0.00932449,-0.0111268
0.0112051,-0.00246802,-0.0111268
0.00391136,-0.00639204,-0.0134429
0.00709846,-0.016465,-0.00995586
