x_pos,y_pos,yaw
0,0,0
0,0,0
-8.51457e-05,0,-3.74686e-10
-0.00113295,-7.98679e-06,-0.00336394
-0.00216337,1.10364e-07,-0.00804323
0.00118323,-2.59281e-05,-0.00456455
0.00339201,-3.8537e-05,0.000984624
0.00339201,-3.8537e-05,0.000984624
-0.00968329,-5.96159e-05,-0.0166943
-0.0121618,2.35531e-06,-0.0177236
-0.00947308,-5.55787e-05,-0.0172008
-0.00924907,-5.53907e-05,-0.0128864
-0.00711428,-8.80506e-05,-0.0118105
-0.00823702,-7.33581e-05,-0.0058299
-0.00737388,-7.62952e-05,-0.00211077
-0.00798271,-7.61427e-05,-0.00171609
-0.00851118,-7.3929e-05,-0.00122612
-0.00814789,-8.22611e-05,-0.00250702
-0.00718298,-7.74089e-05,-0.00715289
-0.00698798,-7.92595e-05,-0.0102842
-0.00879906,-6.28754e-05,-0.00708799
-0.0102028,-5.1087e-05,-0.0118813
-0.0072324,-8.79534e-05,-0.00917544
-0.00698369,-9.54977e-05,-0.0128957
-0.0100026,-4.30665e-05,-0.0107414
-0.00865062,-6.23844e-05,-0.00618263
-0.00962359,-5.6793e-05,-0.00641273
-0.010379,-5.15477e-05,-0.00597506
-0.00923524,-6.19853e-05,-0.00673834
-0.00088774,-0.000117547,-0.00317586
-0.00370715,-0.00010509,-0.00299569
-0.00923886,-9.11147e-05,-0.00351638
-0.0111454,-8.65877e-05,-0.00795087
-0.0106565,-8.96666e-05,-0.0112403
-0.00796237,-0.000120462,-0.0116877
-0.00653874,-0.000138524,-0.0102961
-0.00606047,-0.00014468,-0.00746685
-0.00548208,-0.000148673,-0.00772439
-0.00426316,-0.00015806,-0.00801707
-0.00322182,-0.000165403,-0.00702789
-2.4467e-05,-0.00018825,-0.0107638
0.000364487,-0.000202447,-0.00963899
-0.00287697,-0.0001678,-0.0126961
-0.00183645,-0.00017116,-0.0132034
0.00630779,-0.000261146,-0.00789369
0.0102596,-0.000291357,-0.0084734
0.00900461,-0.000280117,-0.0059138
0.00982334,-0.000285774,-0.00544978
0.0111696,-0.000298763,-0.00401238
0.0135103,-0.000294999,0.000774584
0.0109147,-0.000297787,-0.00237954
