x_pos,y_pos,yaw
0,0,0
-0.000334513,0,-1.71034e-08
-0.00306283,4.41938e-07,0.111267
0.00192858,1.80226e-05,0.338699
0.00303127,2.65415e-05,0.464401
-0.000194985,-2.56722e-06,0.132304
-9.01065e-05,-2.32962e-06,0.132039
0.000210349,-1.25756e-06,0.000530022
-0.00255761,-8.34412e-07,-0.193681
-0.00267661,-5.46755e-07,-0.2275
-0.00154547,-4.01653e-06,-0.223007
-0.00139086,-8.48369e-06,-0.258556
-0.00394246,2.30585e-06,-0.0864635
-0.00323288,6.43523e-06,0.2557
-2.13147e-05,1.73498e-05,0.273883
0.000430934,1.66728e-05,0.325963
0.000963143,1.8583e-05,0.317195
0.00650449,5.90609e-05,0.513927
0.00242127,1.73957e-05,0.489428
0.00118968,5.51307e-06,-0.145103
0.0017804,1.5231e-06,-0.223478
-0.000404314,8.34761e-06,-0.17267
-0.000726197,1.98457e-05,-0.141666
0.00207806,5.12325e-06,-0.0440332
0.00233493,3.32384e-06,0.222389
0.00300056,-4.65955e-06,0.0784001
0.000315631,-2.42036e-05,0.346033
0.00125951,-2.31823e-05,0.256212
0.00344194,-8.34229e-06,0.418864
0.000813126,-3.21595e-05,0.491761
9.8151e-05,-3.37559e-05,0.454175
0.00130013,-3.52562e-05,0.418974
0.00554876,1.88549e-05,0.548395
0.0047899,-1.65464e-05,0.51867
0.00659272,3.16655e-05,0.483224
-0.00015935,-3.34729e-05,0.376304
0.00149026,-1.74317e-05,0.513998
0.00103155,-2.64573e-05,0.40485
0.00246272,-1.85427e-05,0.366245
0.00541714,7.38162e-06,0.674676
0.00177224,-4.03818e-05,0.588413
0.0012046,-6.64515e-05,0.835555
0.00586871,2.85492e-05,0.507496
0.0058258,2.61547e-05,0.458034
0.00465128,1.53047e-05,0.514041
0.00567411,2.21638e-05,0.307799
0.00994295,5.29499e-05,0.290943
0.00976287,5.20574e-05,0.203941
0.00947283,5.23364e-05,0.207182
0.0123152,6.25648e-05,0.115265
0.0145168,6.50074e-05,0.0909109
0.0118233,5.32304e-05,0.0417671
0.00991467,6.86561e-05,-0.0527216
0.0120025,5.10894e-05,0.0343174
0.00878093,5.36292e-05,0.0658902
0.00831564,5.39493e-05,0.161849
0.00592791,4.32134e-05,0.0981578
0.00387426,4.25372e-05,0.0619108
0.00487499,4.79353e-05,0.088247
0.00317486,4.26454e-05,-0.0950515
-0.000101455,4.00468e-05,0.0755998
0.000345889,4.33846e-05,0.0510608
0.00134974,4.6863e-05,0.0500558
-0.000418256,3.78258e-05,-0.00646209
0.000870567,4.35673e-05,-0.284809
0.000935215,3.15856e-05,0.0305677
-0.00117656,3.02893e-05,0.014894
-0.00214675,3.64521e-05,-0.176622
-0.00187829,3.22793e-05,0.137599
-0.0023244,3.23402e-05,-0.155166
-0.00235103,3.39838e-05,-0.0907691
-0.00212189,3.51851e-05,-0.171136
-0.000708122,2.91416e-05,-0.353923
-0.00365692,5.42341e-05,-0.245624
-0.00201686,5.21478e-05,-0.292285
-0.00408864,1.88085e-05,-0.149978
-0.00558144,3.28963e-05,-0.263498
-0.00469971,4.65186e-05,-0.334381
-0.0012942,2.57216e-05,-0.322696
-0.00138768,2.78612e-05,-0.352151
1.672e-05,9.52083e-06,-0.322359
-0.00318496,1.78169e-05,-0.6647
-0.00414259,7.19946e-05,-0.675192
0.00121723,2.37825e-07,-0.697236
0.00209093,-2.03086e-05,-0.647568
0.000865662,-2.72889e-05,-0.259671
-0.0014125,-2.43078e-05,-0.287437
0.000866706,-2.0598e-05,-0.323823
0.00440085,-4.17608e-05,-0.374517
0.00565244,-4.86847e-05,-0.370843
0.00527404,-5.70695e-05,-0.323944
0.00433608,-4.62738e-05,-0.443085
0.00482711,-4.70056e-05,-0.430093
0.00683501,-6.88125e-05,-0.324177
0.00247624,-3.54739e-05,-0.420151
0.00159741,-2.9888e-05,-0.490888
-0.0030975,-1.87428e-06,-0.401656
0.00228805,-2.91199e-05,-0.433312
0.00158025,-3.1242e-05,-0.393972
0.00551343,-5.07776e-05,-0.38663
0.0073596,-6.81647e-05,-0.754055
0.00710367,-6.52171e-05,-0.74108
0.00586979,-6.02909e-05,-0.665678
0.00415476,-3.35279e-05,-0.658111
0.00407056,-2.48971e-05,-0.459751
0.00403004,-2.73703e-05,-0.788907
0.00427548,-3.14026e-05,-0.715448
0.0033153,-1.24946e-05,-0.626396
0.00440655,-2.64433e-05,-0.775181
0.00119969,-5.93653e-06,-0.78925
0.00211218,1.53262e-05,-0.799071
0.00779504,-4.59772e-05,-0.675008
0.0142707,-0.000149998,-0.602825
0.0144279,-0.000150178,-0.649193
0.0148629,-0.000157392,-0.663796
0.0133848,-0.000146187,-0.520286
0.0116342,-0.000130253,-0.543094
0.0123577,-0.000134007,-0.380182
0.0134421,-0.000142395,-0.509691
0.0111182,-0.000129878,-0.53046
0.00288501,-4.28563e-05,-0.53046
0.00256459,-4.08186e-05,-0.608096
0.00301197,-4.75206e-05,-0.572347
0.00222633,-4.16713e-05,-0.610215
2.38506e-05,-2.05894e-05,-0.38883
-0.00363779,-1.24353e-06,-0.205399
-0.00252241,-2.57089e-05,-0.602407
-0.001654,-3.14764e-05,-0.558557
-0.00173151,-3.72248e-05,-0.493002
-0.00456873,-1.46104e-05,-0.403514
-0.00545863,-7.39007e-06,-0.659867
-0.00141269,-5.65559e-05,-0.730019
-0.00143714,-6.22637e-05,-0.872089
