x_pos,y_pos,yaw
0,0,0
0.00500385,-0.00202346,0.068528
0.00306789,-0.00141899,0.068528
0.000926847,0.00181967,-0.0433778
-0.00166091,0.00268189,-0.0631601
-0.00343988,0.00487525,-0.144725
-0.00406062,0.00367176,-0.0923857
-0.00221245,0.00365895,-0.112168
-0.000722364,0.00173979,-0.0236987
0.0303096,0.00144527,-0.107628
0.0317323,0.000964354,-0.141892
0.0349972,0.00171599,-0.169869
0.0359415,0.000575336,-0.130304
0.0316402,0.00207077,-0.169869
0.0333962,-0.000475457,-0.104258
0.0358315,-0.00298163,0.0527596
0.0420783,-0.000297393,-0.130694
0.0392186,0.00175971,-0.204713
0.0403368,0.00125722,-0.23269
0.012803,0.00029744,-0.00283937
0.0131205,0.000987239,-0.051296
0.014188,0.0023916,-0.154088
0.011433,0.00369727,-0.225414
0.0110376,0.00432721,-0.225414
0.0175922,0.00398382,-0.162857
0.0163057,0.00164051,-0.0888383
0.00232824,-0.000600128,0.141012
0.00105294,-0.000112222,0.141012
0.00364889,0.000752595,0.014343
-0.00089306,0.00250293,0.014343
0.00259794,0.00271534,-0.0298916
-0.00925371,0.00578585,-0.132684
-0.00934964,0.00344051,-0.0156498
-0.0083458,0.00684536,-0.188108
-0.0100761,0.00745408,-0.207891
-0.00609903,0.00486718,-0.121661
-0.00750673,0.00314992,-0.121661
-0.0321006,0.00670912,-0.0623144
-0.0311638,0.00771948,-0.159228
-0.0267939,0.00888463,-0.17901
-0.0280035,0.00817146,-0.151034
-0.0187639,0.00250308,0.00347154
-0.0179926,0.0055291,-0.0650565
-0.0142645,0.00945802,-0.204939
-0.0207456,0.00307221,0.074826
-0.0173975,0.00331653,0.0263694
-0.0185482,0.00272551,0.0857164
-0.01686,0.00111447,0.125281
-0.0112682,0.000111336,0.105499
-0.0201953,0.00297593,0.0612641
-0.0182086,0.00316547,0.027
-0.0245172,0.0027201,0.0665647
-0.0210818,0.00303934,0.0665647
-0.0164962,0.00372833,0.0385883
-0.0175947,0.00381864,0.0781529
-0.0219206,0.00820633,-0.13491
-0.0171019,0.00328306,-0.0247661
-0.0183126,0.0078986,-0.204992
-0.0174233,0.0046417,-0.112204
-0.017612,0.00591906,-0.164544
-0.0183513,0.00681249,-0.204108
-0.017399,0.0054205,-0.169844
-0.0265585,0.00689251,-0.150062
-0.0297039,0.00826799,-0.184326
-0.0258858,0.00430738,0.0659033
-0.0273304,0.00287915,0.0659033
-0.0280018,0.00398379,0.0174466
-0.0236044,0.00517575,-0.0105298
-0.0319636,0.0029591,0.0960014
-0.0246471,0.00262729,0.016872
