x_pos,y_pos,yaw
0,0,0
-0.00296734,0.0024165,0.0279765
-0.0029582,0.00252653,0
-0.00232877,0.00175006,0.0197823
-0.00178081,0.00293322,-0.0286743
0.00320247,0.00218894,0.00558972
0.0040643,0.000747829,0.0741178
-0.000111487,0.00271828,-0.0342346
0.000550382,0.0054478,-0.147876
0.000472818,0.00575715,-0.18214
-0.00216523,0.00659764,-0.147876
-0.00322835,0.00665345,-0.147876
-0.00234007,0.00789313,-0.167658
0.00163561,0.00299147,-0.0131528
0.000595718,0.00323582,-0.0474168
0.00342249,0.00424983,-0.109974
0.000528485,0.00423543,-0.109974
0.00153338,0.00556157,-0.109974
0.0021432,0.00439809,-0.0819976
0.00422379,0.00164129,0.0366965
0.00491025,0.00185548,0.00872
0.00490161,0.00215526,0.00872
0.00272223,0.00454443,-0.113227
0.00100322,0.00514603,-0.141203
-0.00609171,0.0039953,-0.0572736
-0.00636277,0.00409446,-0.0915377
-0.00313667,0.00223677,-0.0289804
-0.00473957,0.00100622,0.0233588
-0.00303826,0.00117056,0.0513352
-0.00296374,0.00112206,0.0513352
-0.000935153,-0.000782269,0.0908999
-0.000964569,-0.00137856,0.118876
-0.00164757,-0.00110827,0.138659
-0.00144627,-0.00107318,0.158441
-0.00279625,0.000786535,0.0500887
-0.00209031,-0.000405907,0.126705
-0.00450143,-0.000287852,0.146488
-0.00517262,-0.000359461,0.126705
-0.00483096,-0.00109705,0.126705
-0.00266915,-0.00200504,0.16627
-0.00146368,-0.000741458,0.103713
-0.0011896,-0.000390813,0.0839304
-0.0050175,-0.00143604,0.111907
-0.00279527,-0.00160035,0.171254
-0.00469522,-0.00252043,0.171254
-0.00654428,-0.000552486,0.13699
-0.00233892,-0.00139858,0.13699
-0.00259333,-0.00133304,0.117208
-0.00493066,-0.000475655,0.0829435
-0.00171581,-0.00168582,0.11092
-0.00190615,-0.00389736,0.190049
-0.0030696,-0.000529633,0.0633805
-0.00293602,-0.000468802,0.0831629
-0.00560478,-5.56633e-05,0.0633805
-0.00512776,-0.000632632,0.091357
-0.00769879,0.0010298,0.0287997
-0.00589152,-0.000684114,0.0683644
-0.0070489,-0.00224474,0.147494
-0.00721921,-0.00063136,0.0789658
-0.00361858,-0.00351605,0.189109
-0.00273872,-0.000388641,0.0704151
-0.00288615,-0.00273625,0.161069
-0.00271904,-0.00313684,0.195333
-0.000335003,-0.00317573,0.195333
0.00202167,-0.00536549,0.300012
0.000809844,-0.00409815,0.247672
-0.00470109,-0.00199268,0.134031
-0.00199929,-0.00264164,0.173596
-0.00525531,-0.00489472,0.232943
-0.00353202,-0.0036722,0.193379
-0.00790292,-0.00286899,0.193379
-0.00165934,-0.00263683,0.153814
-0.0015923,-0.000781862,0.0698845
-0.00152091,-0.000312753,0.0501021
-0.00215771,-0.000408158,0.0896668
-0.0028889,9.04841e-06,0.0896668
-0.000618045,0.000651355,0.0554028
-0.000250761,-0.00151624,0.129422
0.0032476,-0.00222736,0.129422
0.00235076,-0.00165918,0.109639
0.00261227,-0.000529391,0.0536863
0.00351099,-0.0015672,0.0816627
0.00288985,-0.00018727,0.0103365
0.00437725,0.000735309,0.0103365
0.00452841,-2.11044e-05,0.0662894
0.00469872,0.00137661,0.0139502
0.00728826,0.000198063,0.0419267
0.00514719,0.000360908,0.0221443
0.0032083,0.00218293,-0.0518744
0.00270096,0.00167864,-0.0123097
0.00214068,0.00112725,0.0319249
0.00121368,-0.00136309,0.152256
-0.000717345,0.000826789,0.0475779
-0.000512263,0.00187306,0.0475779
0.000757373,0.00214678,0.0277956
0.00226928,0.00247347,-0.000180887
0.00283541,0.00133241,0.0482758
0.00300549,0.00429686,-0.0873452
0.0047562,0.00164215,0.0296888
0.00162708,0.00458165,-0.0954258
0.000893304,0.00503466,-0.0954258
0.00265619,0.00536403,-0.123402
0.00211083,0.00239887,-0.0206102
0.00160979,0.00307948,-0.0403925
-0.00103474,0.00530754,-0.150536
-0.00101478,0.00523376,-0.116272
-0.0012241,0.00473365,-0.116272
0.0103219,0.00149408,0.0236104
0.0081906,0.00256922,-0.0357366
0.0118641,0.000227815,0.0631751
0.0119764,0.000794258,0.0631751
0.012809,0.00286611,-0.0433561
0.011831,0.00193548,0.0159909
0.0111034,0.0018074,0.0357733
0.00877634,0.0036789,-0.0725791
0.0142433,-0.000724286,0.116133
0.0129483,-0.00274263,0.20892
0.0126207,-0.000413937,0.0776987
0.016124,-0.00110363,0.0776987
0.0134695,-0.000766451,0.111963
0.0163049,-0.00212521,0.139939
0.0171777,-0.0012179,0.100374
0.0194423,-0.00342477,0.156327
0.0190499,-0.00290137,0.17611
0.0198432,-0.00319526,0.17611
0.0158856,-0.00378585,0.250128
0.0192681,-0.00419785,0.269911
0.0184782,-0.00417314,0.269911
0.0189202,-0.00536995,0.250128
0.0209938,-0.00661319,0.294363
0.018756,-0.00545433,0.274581
0.0187368,-0.00569949,0.274581
0.0196051,-0.0023611,0.136104
0.0191729,-0.00488611,0.238896
0.0187693,-0.00637689,0.298243
0.0203553,-0.00489421,0.258679
0.0184617,-0.00425967,0.238896
0.0191092,-0.00402185,0.283131
0.0207923,-0.00449852,0.283131
0.0199636,-0.00283643,0.211805
0.0222687,-0.00504425,0.306678
0.0214522,-0.00476679,0.272414
0.0224025,-0.00559374,0.292196
0.0213946,-0.00437267,0.257932
0.0173177,-0.00734793,0.360724
0.020012,-0.00763208,0.360724
0.0184325,-0.00624503,0.308385
0.0186644,-0.00687145,0.342649
0.0182078,-0.00823378,0.413975
0.0178543,-0.00702725,0.358022
0.0179908,-0.00754933,0.377805
0.0162199,-0.00724385,0.397587
0.0168684,-0.00785267,0.377805
0.0163588,-0.00662312,0.325465
0.0161149,-0.00723937,0.345248
0.0181143,-0.00944298,0.435902
0.0149263,-0.00596892,0.268043
0.0104572,-0.0044873,0.188914
0.00915668,-0.00769678,0.340865
0.0108317,-0.00810417,0.321082
0.00745165,-0.0036193,0.0462571
0.021914,-0.000923181,-0.348896
0.0228568,0.00337822,-0.716337
0.0304776,0.00224514,-0.833371
0.0435585,-0.00583508,-0.570928
0.0436282,-0.0173233,0.183923
0.0686942,-0.0246581,0.810749
0.0710741,-0.0300143,1.40092
0.0781278,-0.0320293,1.70482
0.0923038,-0.0365801,2.40619
0.0989018,-0.0458384,3.01303
0.119049,-0.0410999,3.23771
0.140495,-0.0465513,3.54862
0.152018,-0.0514709,3.92396
0.154883,-0.0540254,4.08829
0.190676,-0.0459633,3.89854
0.211486,-0.0556353,4.01218
0.232086,-0.0539826,3.92595
0.233335,-0.0402744,3.52441
0.235854,-0.0448342,3.24395
0.246945,-0.0403451,2.73458
0.242231,-0.0453477,2.80019
0.233746,-0.0284095,2.1982
0.260917,-0.0273151,1.94256
0.297438,-0.0317114,1.63482
0.304479,-0.0366408,1.41811
0.317792,-0.0347077,0.991529
0.348405,-0.0347022,0.613588
0.375004,-0.0327635,0.223418
0.425963,-0.0309962,-0.384067
0.470248,-0.038864,-0.67615
0.524906,-0.0455421,-1.20807
0.561719,-0.0402808,-1.76795
0.611368,-0.0465992,-2.28268
0.644263,-0.0456519,-2.74238
0.685771,-0.0547386,-3.08616
0.741983,-0.0694742,-3.39199
0.794627,-0.0739421,-3.87209
0.814221,-0.0759862,-4.0376
0.881333,-0.0812787,-4.55233
0.930461,-0.0881282,-4.84972
1.0004,-0.100755,-5.24388
1.02834,-0.109565,-5.43363
1.09503,-0.121486,-5.88948
1.16183,-0.126053,-6.17064
1.25463,-0.142685,-6.32766
1.3286,-0.157323,-6.80654
1.36986,-0.171394,-6.88567
1.37969,-0.176771,-6.99581
1.41684,-0.192621,-7.05516
1.46997,-0.199873,-7.38022
1.51061,-0.215726,-7.51292
1.54808,-0.2215,-7.94678
1.58784,-0.231341,-8.11924
1.64494,-0.247076,-8.23459
1.68025,-0.247607,-8.49554
1.75192,-0.266294,-8.776
1.78548,-0.282718,-8.84161
1.80062,-0.287728,-9.26126
1.84226,-0.30168,-9.36017
1.864,-0.314254,-9.52568
1.92422,-0.338597,-9.65839
1.96749,-0.367097,-9.15132
2.00401,-0.378921,-9.256
2.03398,-0.400182,-9.03132
2.0967,-0.407783,-9.31248
2.16156,-0.433767,-9.17831
2.20849,-0.449677,-9.32766
2.23854,-0.469341,-8.93549
2.25482,-0.47839,-9.07537
2.28599,-0.482581,-9.12771
2.31764,-0.487505,-9.26619
2.35699,-0.501848,-9.59839
2.39272,-0.520495,-9.52437
2.45756,-0.541934,-9.34743
2.50572,-0.560305,-9.04225
2.56896,-0.575133,-8.85667
