x_pos,y_pos,yaw
0,0,0
0.00042258,-0.00151155,0.034264
0.000324818,-0.00292324,0.093611
-0.000812892,-0.00317909,0.093611
0.000417067,-0.00173178,0.113393
-0.00076999,0.000660815,-0.00693791
-0.00103177,-0.000510394,0.049015
-0.000635017,-0.0018831,0.13058
-0.00210704,0.000213927,0.0514503
-0.00175186,0.00383648,-0.0474614
-0.00260027,-0.000453566,0.0534092
-0.00479925,-0.00307266,0.146197
-0.00446641,-0.00342603,0.185761
-0.0083038,-0.00311338,0.185761
-0.00820433,-0.0032086,0.185761
-0.00756163,-0.00292305,0.213738
-0.00579544,-0.00440909,0.273085
-0.00814301,-0.00123489,0.122427
-0.00868362,0.000657948,0.0630798
-0.0105838,-0.00445476,0.260903
-0.0118603,-0.00321995,0.208564
-0.012158,-0.00216382,0.160108
-0.0107899,-0.00301115,0.188084
-0.0110227,-0.00254905,0.139627
-0.0147003,-0.00319729,0.208155
-0.0151632,-0.00517792,0.256612
-0.0146301,-0.00262024,0.125391
-0.0130388,-0.00284586,0.17773
-0.0128203,-0.00316048,0.205706
-0.0140417,-0.00458069,0.233683
-0.0119917,-0.00262191,0.185226
-0.0111596,-0.00331288,0.21949
-0.012826,-0.00273309,0.191514
-0.0121267,-0.00253174,0.15725
-0.0143029,-0.00339026,0.185226
-0.0121291,-0.00467065,0.250837
-0.0112091,-0.00537359,0.270619
-0.00998482,-0.00669736,0.319076
-0.00963496,-0.00731057,0.319076
-0.0097639,-0.00647539,0.319076
-0.0105733,-0.00567005,0.291099
-0.0108257,-0.00392434,0.186421
-0.0101842,-0.00249661,0.142186
-0.00952527,-0.00433151,0.226116
-0.00952353,-0.00422663,0.254092
-0.00731735,-0.00464926,0.273875
-0.00443078,-0.0048076,0.273875
-0.00636838,-0.00591102,0.350491
-0.00492173,-0.00388434,0.255618
-0.00533386,-0.00509045,0.304075
-0.00568726,-0.00904186,0.383204
-0.00549176,-0.00872962,0.383204
-0.00543733,-0.00710885,0.309186
-0.00557599,-0.00619862,0.281209
