x_pos,y_pos,yaw
0,0,0
0.00707029,0.00691218,-0.00300997
-0.000589034,0.0058229,-0.00135413
0.00136109,0.00515261,-0.00195215
0.00206581,0.00454088,-9.28265e-05
-0.00548734,0.00283761,0.000679214
0.00188026,0.000155526,0.000679214
0.0110848,-0.00571729,0.00431683
0.0188056,-0.00318117,0.00245751
0.0218432,0.00233481,0.000731174
0.0179294,0.00341282,0.000731174
0.0304521,0.00421619,-0.000245388
0.0180234,0.00368092,0.000846442
0.0198406,0.000310001,0.00300263
0.0245927,0.00418788,0.000846442
0.0212962,0.0042569,0.000846442
0.0198338,0.00487903,0.000155908
0.0242347,0.0109157,-0.00359465
0.0257595,0.00915596,-0.00268116
0.0336197,0.00638383,-0.000854182
0.0324612,0.0105082,-0.00324626
0.0346072,0.00462926,0.000118986
0.0313828,0.00338528,0.000717006
0.0290745,0.00179373,0.00186213
0.0345985,0.00243634,0.00263417
0.0351037,0.00718716,-0.00136259
0.0322577,0.00662198,-0.00076457
0.0365861,0.00681691,0.000148921
0.0282767,0.00343816,0.00112548
0.0284143,0.00685931,0.000211993
0.0253943,0.0055542,0.000211993
0.025808,0.00564136,0.000211993
0.0247616,0.00306304,0.00167684
0.0398893,0.0063954,-0.000836746
0.0263047,0.0063924,0.00117649
0.0277356,0.00415065,0.000831223
0.0287883,0.00255234,0.00216844
0.0281047,0.00288326,0.00182317
0.0263276,0.00634701,0.00122515
0.0155303,0.00461785,0.00280736
0.0149178,0.00126973,0.00476049
0.00840931,0.0036669,0.00167232
0.0118665,0.00200503,0.00483675
0.00706269,-0.000598832,0.00552728
0.00485904,-0.000870208,0.00475524
0.00267281,0.0015952,0.00341803
0.00435054,0.00176511,0.00390631
0.00714368,0.00334606,0.00266143
0.0086105,0.00172442,0.00335197
0.0153996,-0.0016541,0.00558955
0.0372919,-0.00271105,0.00558955
0.0454252,-0.00180141,0.00382903
0.0430369,-0.00208974,0.00492086
0.0415417,-0.00250652,0.00443258
0.0390254,-0.00160278,0.00351909
0.0442518,-0.00132972,0.00351909
0.0522385,-0.00467768,0.00490016
0.0484031,-0.00388078,0.00236297
0.0466561,-0.00297241,0.00270824
0.0522451,-0.000872885,0.000470652
