x_pos,y_pos,yaw
0,0,0
-0.0093816,0.00359405,-0.00142357
-0.0154398,0.0119584,-0.00600406
-0.0184435,0.0109161,-0.00515833
-0.0156114,0.0162852,-0.00711146
-0.0166487,0.013935,-0.00711146
-0.0205783,0.0179611,-0.00912469
-0.0330933,0.0183289,-0.00863641
-0.0301269,0.0204595,-0.0108472
-0.0319722,0.0188142,-0.00919136
-0.0294539,0.0155675,-0.00789949
-0.0296905,0.0196405,-0.0100279
-0.0315986,0.0203125,-0.0126116
-0.0255876,0.0173821,-0.0108175
-0.0331024,0.0202427,-0.0127399
-0.0380126,0.0219564,-0.0122516
-0.0403691,0.0204511,-0.0122516
-0.0325031,0.0214484,-0.0136327
-0.0441974,0.0226173,-0.0132874
-0.0366558,0.0196927,-0.0112158
-0.0419734,0.0215392,-0.0112158
-0.047207,0.0228615,-0.0123609
-0.0557907,0.0167819,-0.00563044
-0.03791,0.0184883,-0.00851915
-0.0359291,0.0169389,-0.00851915
-0.0399391,0.0199508,-0.00971519
-0.0457826,0.0221403,-0.00922691
-0.0460993,0.0281361,-0.0113553
-0.0431878,0.025205,-0.0100181
-0.0450477,0.0235543,-0.00910457
-0.0555292,0.0262991,-0.00959285
-0.0656445,0.0212841,-0.00720077
-0.0708959,0.0215838,-0.0091539
-0.0584897,0.0189457,-0.0081181
-0.0542305,0.0183224,-0.00752008
-0.0576623,0.0211619,-0.00981032
-0.0554599,0.0207654,-0.0102986
-0.0767048,0.0239321,-0.0102986
-0.0727733,0.0232296,-0.00995333
-0.0718276,0.0231867,-0.00861612
-0.0688238,0.0194596,-0.00784408
-0.0726033,0.0217343,-0.0065992
-0.0663794,0.0202403,-0.0055634
-0.059654,0.0247755,-0.0104462
-0.059363,0.0235522,-0.0098482
-0.0717275,0.026972,-0.0111401
-0.0823645,0.0213873,-0.00689735
-0.0779007,0.0213804,-0.00738564
-0.0863253,0.0203201,-0.00653991
-0.0760131,0.0243428,-0.00731195
-0.0658952,0.0232833,-0.00885603
-0.0647121,0.0229653,-0.00771091
-0.0552157,0.023968,-0.00848295
-0.0597607,0.0244804,-0.00848295
-0.0564791,0.0244446,-0.0111796
-0.0549363,0.0274719,-0.0126444
-0.0585794,0.0304145,-0.0153849
-0.0592364,0.0261102,-0.0123356
-0.0474095,0.0259659,-0.0151617
-0.0530101,0.027163,-0.0143897
-0.0500733,0.0248866,-0.0158946
-0.0443252,0.0280135,-0.0189244
-0.0459152,0.0227161,-0.0174194
-0.0436503,0.0208424,-0.0174194
-0.0494787,0.0264124,-0.0181914
-0.0422685,0.0268338,-0.0185367
-0.0352436,0.0213168,-0.0178461
-0.025955,0.0193192,-0.0196731
-0.0292301,0.0200859,-0.0210967
-0.029606,0.0175372,-0.0210967
-0.0300098,0.0210943,-0.0228572
-0.0201355,0.0232461,-0.0271419
-0.0179161,0.0195879,-0.0249857
-0.0067032,0.0219023,-0.0274514
0.000446614,0.0204078,-0.0274514
0.00972862,0.0183175,-0.0291072
0.0105991,0.0208858,-0.0307267
0.0300447,0.0223738,-0.0354607
0.0250758,0.0209883,-0.0354607
0.0422966,0.0153172,-0.0333606
0.053367,0.0146713,-0.0363903
0.0527862,0.0128071,-0.0374821
0.042512,0.0192403,-0.0391736
0.0420322,0.013833,-0.0391736
0.0513494,0.00976627,-0.0407558
0.0711445,0.0124709,-0.0419009
0.0764101,0.0162899,-0.0452305
0.0826566,0.0176218,-0.0476719
0.09356,0.0119643,-0.0465268
0.0947345,0.0169014,-0.0473725
0.112109,0.0099442,-0.0497894
0.108155,0.00948628,-0.0491914
0.117177,0.0135839,-0.0496797
0.121365,0.0127277,-0.0496797
0.128247,0.0168184,-0.0514737
0.136771,0.0130126,-0.0523195
0.137957,0.00810685,-0.048293
0.14656,0.0124829,-0.0508997
0.136984,0.0116742,-0.0491392
0.137248,0.0137482,-0.0520484
0.161054,0.0116388,-0.0520484
0.187622,0.0092573,-0.053025
0.169773,0.0134371,-0.053623
0.165703,0.0195296,-0.053623
0.166117,0.0165734,-0.0529325
0.17784,0.0142957,-0.0545147
0.199662,0.0150657,-0.0545147
0.213644,0.0165997,-0.05486
0.223349,0.0149699,-0.0557057
0.21731,0.0167097,-0.0546139
0.234527,0.0110598,-0.0529944
0.250013,0.0131493,-0.0570942
0.269047,0.0153825,-0.0596078
0.287135,0.0145309,-0.0590098
0.302634,0.0109127,-0.0566428
0.309398,0.00589855,-0.0566428
