x_pos,y_pos,yaw
0,0,0
0.00350786,0.000266788,-0.000488281
0.00685211,0.00101071,-0.000488281
0.00647282,0.00187974,-0.000143014
0.00559088,0.00180742,-0.000143014
0.00709003,0.000650308,0.000345267
0.00928674,0.00285306,0
0.0133432,0.00370185,-0.00119604
0.0104147,0.00441632,-0.00119604
0.0121838,0.00358782,-0.00119604
0.0135394,0.00400957,-0.00168432
0.0118375,0.00267859,-0.00253005
0.0134757,0.00557433,-0.00253005
0.0165195,0.00178672,-0.00193203
0.0107541,0.00465881,-0.00262256
0.0115202,0.004681,-0.00311084
0.0171921,0.00553895,-0.00380138
0.015837,0.00132592,-0.00214554
0.0101737,0.00384264,-0.00214554
0.00919232,0.00261105,-0.00214554
0.00803344,0.00285543,-0.00214554
0.00983371,0.00259439,-0.0024908
0.0110939,0.00178689,-0.00308882
0.011536,0.0025756,-0.00274356
0.0123901,0.000338509,-0.00225527
0.0124837,0.000700414,-0.00191001
0.0137529,-0.00229575,-0.00191001
0.0166331,-0.000411526,-0.00191001
0.0170641,-0.000549072,-0.00156474
0.0133799,-0.000165542,-0.00191001
0.00503925,0.00334611,-0.00250803
0.00762174,0.00302985,-0.00250803
0.0051719,0.00342432,-0.00285329
0.00532006,0.00377528,-0.00285329
0.00744247,0.00346904,-0.00250803
-0.000862214,0.00113216,-0.00216276
-0.00219263,0.00294782,-0.00285329
-0.00202335,0.00279668,-0.00285329
-0.00106216,0.0033247,-0.00334158
-0.00283789,0.0034476,-0.00334158
-0.00614657,0.00221707,-0.00334158
-0.00273772,0.00257795,-0.00334158
0.000744107,0.00159527,-0.00334158
-0.000495661,0.00259473,-0.0041873
-2.97588e-05,0.000572229,-0.00299126
-0.00058411,0.00100868,-0.00239324
-0.00319504,0.00132914,-0.00239324
-0.00523369,0.00192932,-0.00204798
-0.00304705,-0.00148781,-0.00170271
-0.00321164,-0.0013519,-0.00230073
0.00141428,0.00388966,-0.00289875
0.00347982,0.00284577,-0.00289875
0.00533497,0.00164998,-0.00289875
0.00761469,0.00163237,-0.00289875
0.00591128,0.00405865,-0.00367079
0.00688275,0.00149923,-0.00367079
0.00849527,0.00192948,-0.00367079
0.0233275,0.00339977,-0.00436132
0.029188,0.00236301,-0.00436132
0.0319715,0.00191716,-0.00545315
0.0340394,0.0032218,-0.00545315
0.0319126,0.00411618,-0.00594144
0.035696,0.00381561,-0.0062867
0.0386186,0.00793017,-0.00817781
0.0342858,0.00678572,-0.00972189
0.0369662,0.000541661,-0.0104124
0.0397801,0.00184219,-0.0116573
