x_pos,y_pos,yaw
0,0,0
-0.00656934,0.00130356,-0.000488281
-0.00595076,0.00360564,-0.00168432
-0.0126624,0.00470882,-0.00202959
-0.00682808,-0.000420959,0.000234479
-0.00737733,0.00435166,-0.00142136
-0.00435794,0.00483826,-0.00190964
-0.00202488,0.00294999,-0.00190964
-0.00062832,0.00567514,-0.00320152
-0.0049056,0.0054692,-0.00320152
0.00258233,0.0062093,-0.00354678
0.00730624,0.00686042,-0.00591381
0.00405054,0.00580724,-0.00359769
0.00415131,0.00548847,-0.00419571
0.0101146,0.00146151,-0.00273087
0.0103565,-0.00275691,7.4095e-05
0.00853312,0.000920877,-0.00107103
0.00372134,0.00544146,-0.00372307
-9.47548e-05,0.00310735,-0.000411387
0.00590276,0.00615128,-0.00342136
0.006499,-0.000877912,0.000849364
-0.00709515,-0.00159961,0.00144738
-0.00926254,0.000895493,0.000355554
-0.00657658,-0.0013743,0.000700821
-0.012186,-0.00913858,0.00415349
-0.021445,-0.001613,0.00159292
-0.0212067,-0.00193685,0.00193819
-0.022835,-0.000545311,0.00134017
-0.0195058,-0.00130077,0.000649636
-0.022567,-5.72169e-05,0.000304369
-0.0208812,-0.00307117,0.00237597
-0.018986,-0.00327656,0.00306651
-0.00986247,-0.00964309,0.00565025
-0.0142608,-0.00887616,0.00530498
-0.0107647,-0.00605373,0.00530498
-0.00815181,-0.00806657,0.00530498
-0.00988933,-0.00558494,0.00432842
-0.00970513,-0.00443073,0.00323659
-0.00645708,-0.00574213,0.00226003
-0.00884868,0.00168204,-0.00209363
-0.00530664,0.00131823,-0.00209363
-0.00899213,0.000800058,-0.000948508
-0.00500631,0.00167017,-0.00249259
-0.00364174,0.00087701,-0.00249259
-0.00508489,0.00539859,-0.00431957
-0.00369649,0.00162676,-0.00322774
-0.00495274,0.0111924,-0.00797438
-0.00534328,0.00907064,-0.0067295
-0.0103559,0.00910441,-0.0048384
-0.00285917,0.00651065,-0.00626197
-0.00360967,0.0090007,-0.00626197
0.000935506,0.00454907,-0.00392025
0.00131594,0.0011891,-0.00322972
-0.00861607,0.00445102,-0.00225316
-0.000313966,-0.000294717,-0.00100828
-0.00120196,0.00376292,-0.0033244
-0.00546616,0.00279196,-0.0033244
-0.000544858,0.000291645,-0.0033244
-0.0040493,0.0028547,-0.00381268
-0.00524844,0.00470403,-0.00519375
-0.00608312,-0.000567476,-0.00163901
-0.00595229,0.00485071,-0.00493265
-0.000844492,-0.0001818,-0.00307333
0.000904442,0.000994858,-0.00441054
0.00894189,0.00177169,-0.00532403
0.00836492,-0.000557538,-0.0042322
0.0115786,-0.00174032,-0.00388693
0.00701784,4.08512e-05,-0.00437522
0.00754174,0.000238379,-0.00514726
0.0113782,0.00175088,-0.00751429
0.0104483,0.00309471,-0.00785955
0.00371901,-0.00179708,-0.00277345
0.00441979,-0.00378749,-0.00277345
0.0135247,-0.00696405,-0.00122937
0.0127609,-0.00285602,-0.00429817
0.0210213,-0.00815418,-0.00140946
0.0215422,-0.0113795,-7.22437e-05
0.0231658,-0.0119649,0.000273023
0.0270265,-0.0101567,-0.000324997
0.0214096,-0.00799891,-0.00147012
0.0219425,-0.0113215,0.000971289
0.022211,-0.00923498,-0.000273589
0.0252565,-0.0112213,7.16782e-05
0.0239952,-0.0111544,7.16782e-05
0.024399,-0.00977577,-0.000964123
0.0200612,-0.00813112,-0.000475842
0.0232333,-0.0114545,0.000369886
0.0237504,-0.00943834,-0.000402154
0.0207167,-0.00744378,-0.00117419
0.0385553,-0.011464,-0.00117419
0.0260868,-0.0117605,0.000981997
0.0266499,-0.00888187,-0.00138503
0.0290792,-0.00459187,-0.00377711
0.0387391,-0.00785598,-0.00195013
0.0389645,-0.00875265,-0.00110441
0.0394146,-0.00937929,-0.00230045
0.0388005,-0.00834553,-0.00115532
0.042887,-0.000301272,-0.00696362
0.0347587,-0.00238013,-0.00452222
0.0324017,0.00157433,-0.00594579
0.031099,0.00168882,-0.00517375
0.0327991,0.00155714,-0.00586428
0.0335088,0.00301822,-0.00748373
0.0316332,0.00370226,-0.00748373
0.0296887,0.00339981,-0.0063919
0.0333593,0.00257289,-0.0074277
0.037724,0.00788646,-0.0109656
0.0395051,0.0073133,-0.0115637
0.0415805,0.00861704,-0.0133242
0.0363772,0.0101499,-0.0127262
0.0368808,0.00617669,-0.0105154
0.0351001,0.00768771,-0.0105154
0.0292831,0.00937669,-0.0105154
0.031543,0.00963787,-0.0116072
0.0313295,0.00796597,-0.0110092
0.0358283,0.00383654,-0.00864215
0.0348475,0.00684214,-0.0106848
0.0338467,0.0116017,-0.0126682
0.0360937,0.0122157,-0.0126682
0.0333318,0.0136248,-0.0133587
0.0419033,0.0152849,-0.0155963
0.0412873,0.0148276,-0.0147506
0.041887,0.0164044,-0.0153486
0.0446274,0.0157416,-0.0156939
0.0492509,0.0105176,-0.0134036
0.0410165,0.0168906,-0.0145487
0.0351372,0.0218094,-0.0166203
0.0354342,0.0175697,-0.0151968
0.0393348,0.0134967,-0.0136527
0.040749,0.0145481,-0.0136527
0.0429717,0.0122927,-0.0125076
0.0391121,0.015052,-0.0138886
0.038524,0.0160817,-0.0148652
0.0435312,0.0130002,-0.012765
0.0456002,0.0129468,-0.0137416
0.0471466,0.0108372,-0.0126498
0.0458311,0.0148841,-0.0146029
0.0396027,0.0167724,-0.0139123
0.0376381,0.0139915,-0.0122209
0.0415564,0.0179725,-0.0161119
0.037197,0.0183476,-0.0164571
0.0259828,0.0213645,-0.0164571
0.0351724,0.0229167,-0.0174929
0.0314463,0.0289589,-0.0211794
0.0312817,0.0267645,-0.0211794
0.0300509,0.0298125,-0.0205813
0.0284799,0.0274337,-0.0190373
0.0285985,0.0282707,-0.0190373
0.0259969,0.0281109,-0.018549
0.03038,0.029691,-0.0199301
0.0230413,0.0292068,-0.0199301
0.0271956,0.0319685,-0.0220862
0.028804,0.0312788,-0.0220862
0.0377266,0.0335502,-0.0230628
0.0396738,0.0327394,-0.0234081
0.047655,0.031558,-0.0237533
0.0439824,0.033307,-0.0234081
0.0387419,0.0366786,-0.0249131
0.0370927,0.03902,-0.0252583
0.0424367,0.0360914,-0.0249131
0.0447595,0.0324433,-0.0237679
0.045115,0.0366944,-0.0259787
0.0519776,0.0376068,-0.0275982
0.049072,0.0365809,-0.0263533
0.0543962,0.0302138,-0.0251084
0.0597229,0.0344677,-0.0285783
