x_pos,y_pos,yaw
0,0,0
0,0,0
0.00066686,-1.42659e-12,-0.0751579
-0.00563264,-2.43784e-07,0.0285111
-0.00792976,-1.36411e-06,-0.0164348
-0.0130961,-6.90512e-07,-0.0164133
-0.0117332,-1.16419e-06,-0.0363116
-0.00147314,-7.66576e-06,0.190612
-0.000956794,-5.80727e-06,0.193541
-0.000731728,-5.57936e-06,0.141037
0.00226631,1.66899e-06,0.11192
0.00362941,4.3399e-06,0.11192
0.00649691,8.48964e-06,0.0726726
0.0037301,4.9608e-06,0.0653764
0.011375,1.3868e-05,0.0837954
0.0214298,2.78669e-05,0.0185253
0.0183022,2.74924e-05,0.00404872
0.0168988,2.81977e-05,0.0828782
0.0213909,3.47837e-05,0.0529298
0.0211153,3.45161e-05,0.0352184
0.0169296,3.19625e-05,0.0711069
0.0196696,3.53849e-05,0.0711074
0.0206863,3.63369e-05,0.10494
0.0194766,3.39455e-05,0.0551066
0.0170108,3.04838e-05,-0.0530871
0.0157685,3.19422e-05,0.025326
0.0195053,3.34432e-05,-0.0917717
0.0188425,3.45181e-05,0.0412928
0.00949492,3.01811e-05,0.049574
0.00824046,2.92353e-05,0.00965001
0.00564243,2.87973e-05,-0.000462903
0.00766777,2.84617e-05,0.0478661
0.00510327,2.64244e-05,0.0819693
-0.00192506,2.01311e-05,-0.00429722
-0.00593427,1.99636e-05,0.0118152
-0.000811373,2.06361e-05,-0.0193186
0.00308205,1.98393e-05,-0.0183153
-0.00491638,2.72993e-05,-0.0289584
-0.00572223,2.79402e-05,-0.0447443
-0.00533892,2.72712e-05,0.00183676
-0.00716887,2.72888e-05,0.0130343
-0.00821832,2.6965e-05,0.00694398
-0.0156309,2.54622e-05,0.0187372
-0.0165976,2.48326e-05,0.0356752
-0.00703963,3.01479e-05,-0.0374407
-0.00703963,3.01479e-05,-0.0374407
-0.00755011,3.05266e-05,-0.0422773
-0.0108161,3.41921e-05,-0.0581998
-0.0100573,3.35835e-05,-0.118806
-0.0124124,3.82592e-05,-0.171269
-0.0140438,4.35056e-05,-0.153238
-0.0160315,5.37783e-05,-0.322458
-0.0132608,3.82172e-05,-0.322455
-0.0105856,1.96644e-05,-0.312252
