x_pos,y_pos,yaw
0,0,0
-0.00937417,0.00248351,-0.000488281
-0.0130824,0.000815256,-0.000488281
-0.0118149,0.000544742,-0.000488281
-0.00861435,-0.000414188,-0.000488281
-0.009553,3.11582e-05,-0.000976563
-0.00804793,0.000939502,-0.000631296
-0.00840003,0.00121892,-0.000976563
-0.00589864,0.00032794,-0.000976563
-0.00899587,0.000672588,-0.000976563
-0.0158318,0.00193001,-0.00157458
-0.0151698,0.0018958,-0.0010863
-0.013333,0.00134984,-0.00157458
-0.0124478,0.0030491,-0.00191985
-0.0116594,0.00399438,-0.00240813
-0.0123439,0.00474183,-0.00240813
-0.0178526,0.00522489,-0.00206286
-0.0149196,0.00377226,-0.00206286
-0.015881,0.00447159,-0.00240813
-0.0151935,0.00424217,-0.00240813
-0.017674,0.00383895,-0.00240813
-0.0180773,0.00445639,-0.00191985
-0.0254262,0.00629502,-0.00191985
-0.0274992,0.00589405,-0.00191985
-0.0216361,0.00582508,-0.00191985
-0.0261941,0.00738682,-0.00226512
-0.0229768,0.00468893,-0.00106908
-0.0353203,0.00814395,-0.0031117
-0.0269384,0.0113482,-0.00345697
-0.0263647,0.00964232,-0.00296869
-0.0268122,0.0110127,-0.00356671
-0.0342758,0.0123355,-0.00356671
-0.0410515,0.0114705,-0.00307843
-0.0377121,0.00909403,-0.00307843
-0.0419894,0.00894974,-0.00307843
-0.0445671,0.00934477,-0.00307843
-0.0405086,0.0108504,-0.0034237
-0.0522936,0.011519,-0.00265165
-0.0507311,0.0129703,-0.00334219
-0.0540963,0.0114738,-0.00274417
-0.0552919,0.0122583,-0.00274417
-0.0516713,0.0115723,-0.00274417
-0.0529201,0.0101826,-0.00225589
-0.0526271,0.0117994,-0.00294642
-0.0511459,0.0103748,-0.00245814
-0.0457093,0.0120387,-0.00280341
-0.0491137,0.0136797,-0.00357545
-0.0489873,0.0120827,-0.00323018
-0.0440213,0.0123877,-0.00371846
-0.0476189,0.0123457,-0.00420674
-0.0531921,0.00967297,-0.00420674
-0.0489229,0.0120437,-0.00420674
-0.0473151,0.00989636,-0.00336102
-0.0463155,0.0103958,-0.00336102
-0.0500032,0.012704,-0.0038493
-0.0468518,0.0123761,-0.0038493
-0.0414403,0.00913843,-0.00315876
-0.0405889,0.0105809,-0.00375678
-0.0307283,0.0092174,-0.00410205
-0.0265254,0.0107349,-0.00410205
-0.0310841,0.00733645,-0.00341152
-0.0335195,0.00846395,-0.0038998
-0.0347121,0.00746117,-0.00330178
-0.0334505,0.00945767,-0.00364704
-0.0309514,0.00894195,-0.00364704
-0.0310599,0.00990585,-0.00315876
-0.0307415,0.00839706,-0.00315876
-0.0377198,0.0106833,-0.00364704
-0.0377382,0.0102046,-0.00364704
-0.0433345,0.00964261,-0.00399231
-0.0417939,0.00744388,-0.00330178
-0.0420384,0.0104636,-0.00421527
-0.0404072,0.00714422,-0.00330178
-0.0403337,0.00844411,-0.00364704
-0.0378052,0.00689094,-0.00364704
-0.041258,0.00719063,-0.00364704
-0.036715,0.00674294,-0.00364704
