x_pos,y_pos,yaw
0,0,0
0.00315163,-0.000122581,0.000976563
-0.00235638,-0.0103685,0.00860378
0.00055994,-0.00700495,0.00561368
-0.00146076,-0.00428801,0.00172271
-0.00138939,-0.00549559,0.00490592
0.0109446,0.0102651,-0.0061965
0.00334376,3.85858e-05,0.00116022
0.00569175,-0.00299061,0.0016485
0.0037619,0.00219771,-0.00153471
0.00317366,0.000824279,-0.000338668
0.0113511,0.00797528,-0.00687144
0.00426933,0.0040798,-0.0033335
0.000581298,-0.00487692,0.00424668
-0.00217483,-0.00633735,0.00340095
-0.00478157,-0.00865277,0.00616309
-0.00751608,-0.0178906,0.0131286
-0.00972614,-0.0169158,0.0101385
-0.0155242,-0.0216368,0.0142383
-0.0110948,-0.0228504,0.0150841
-0.0121487,-0.0243146,0.0166281
-0.0105846,-0.0258259,0.0161398
-0.0120704,-0.0226699,0.0141867
-0.0137024,-0.0224202,0.014675
-0.0210483,-0.0261429,0.0188038
-0.0233401,-0.0239167,0.0175589
-0.02405,-0.019593,0.0156996
-0.0221156,-0.0174501,0.0124977
-0.0242707,-0.0260651,0.0202643
-0.0268463,-0.0326718,0.024335
-0.0260604,-0.0303949,0.0232431
-0.0301931,-0.0365077,0.0284566
-0.0252247,-0.0273864,0.0196336
-0.0248533,-0.026171,0.0196336
-0.0264027,-0.0285369,0.0212531
-0.0296394,-0.0267429,0.0203396
-0.0295893,-0.0344216,0.0235785
-0.0277042,-0.0207091,0.0147084
-0.0292885,-0.028352,0.0191165
-0.0366523,-0.0168609,0.0136682
-0.0361215,-0.0228374,0.0166383
-0.0443859,-0.0247014,0.0187667
-0.0514755,-0.0331167,0.022132
-0.0502531,-0.0282921,0.0202408
-0.0555382,-0.0331285,0.0236061
-0.0538351,-0.0384987,0.0287039
-0.0516845,-0.0334687,0.0221166
-0.0496523,-0.0360577,0.0231524
-0.056907,-0.0431425,0.0292511
-0.0570477,-0.041281,0.028653
-0.0543889,-0.0462785,0.0320005
-0.0573949,-0.0404131,0.0296588
-0.0553993,-0.0446281,0.0316422
-0.0574077,-0.0500107,0.0358141
-0.0558049,-0.052964,0.0386402
-0.0537914,-0.0480653,0.0342187
-0.0521022,-0.0475136,0.0329738
-0.0555081,-0.0487322,0.0340656
-0.0499879,-0.0493131,0.0326008
-0.0558108,-0.0460072,0.0314047
-0.0566214,-0.0486108,0.0328696
-0.0530977,-0.0457407,0.0322715
-0.0558256,-0.0511074,0.0345877
-0.0474558,-0.0452999,0.0297049
-0.0513741,-0.0488924,0.0325936
-0.0577705,-0.0481953,0.0321053
-0.0583661,-0.0488496,0.03176
-0.0598912,-0.059679,0.0393559
-0.0590325,-0.0508094,0.0346345
-0.0531166,-0.0568753,0.0365876
-0.0423741,-0.0430188,0.0270817
-0.0404733,-0.0360455,0.0205307
-0.0322503,-0.0284431,0.0153748
-0.0347326,-0.0322567,0.0167559
-0.0393774,-0.0341898,0.0200313
-0.0370861,-0.033972,0.0200313
-0.0328969,-0.0288629,0.0161404
-0.0317626,-0.0303233,0.0168309
-0.0384815,-0.0339751,0.0208426
-0.0396548,-0.0345233,0.0215331
-0.0389662,-0.0384649,0.022778
-0.0309767,-0.0303014,0.0163094
-0.0328314,-0.0271998,0.0142961
-0.0350799,-0.0222916,0.0118547
-0.0332945,-0.0308109,0.0165382
-0.0384335,-0.0283392,0.0148467
-0.0336962,-0.0281086,0.015192
-0.0308011,-0.0197859,0.0102727
-0.0310822,-0.0246233,0.0128099
-0.0298936,-0.0232175,0.0117741
-0.0267506,-0.0171292,0.00723278
-0.0257191,-0.0210198,0.010854
-0.0212679,-0.0136234,0.00512836
-0.0211264,-0.0164797,0.0059004
-0.0281845,-0.0127439,0.00638869
-0.0258518,-0.0163912,0.00970037
-0.0161698,-0.001282,0.000422995
-0.0211846,0.000993311,-0.000773045
-0.0232982,0.0051328,-0.00290141
-0.0148163,0.00610149,-0.00324668
-0.00886177,0.0097729,-0.00798075
-0.00937202,0.0146383,-0.0119174
-0.00174229,0.00714521,-0.0119174
0.00328815,0.0138199,-0.0165368
0.000324012,0.00136637,-0.0158462
0.0276572,0.00568336,-0.0196754
0.0327964,0.00460707,-0.0239878
0.0374614,0.00739908,-0.0252797
0.0490429,0.0191106,-0.0364357
0.0559335,0.0118893,-0.0309656
0.0643088,0.012993,-0.0323892
0.0694777,0.0163348,-0.033854
0.0672412,0.0139742,-0.0301194
0.0696216,0.0183636,-0.0297741
0.083968,0.0161825,-0.026784
0.0810685,0.0126839,-0.0225695
0.0936199,0.0187544,-0.020809
0.123497,0.0214384,-0.0128154
0.149835,0.0124923,-0.000775486
0.148306,0.0113123,0.0075897
0.155737,0.0184123,0.0159192
0.163287,0.0261999,0.0180475
0.12918,0.0234354,0.0271367
0.107148,0.0200618,0.0367548
0.110797,0.0224273,0.0371
0.116156,0.018818,0.0448743
0.117703,0.0247904,0.0434095
0.13831,0.0283292,0.0401522
0.129673,0.0392951,0.0346064
0.147952,0.0462397,0.0319769
0.157421,0.0392234,0.0397205
0.182345,0.0351708,0.0432415
0.190825,0.0472267,0.0398763
0.194577,0.0365002,0.0482557
0.198679,0.0425384,0.0492323
0.203104,0.0383989,0.0492323
0.225433,0.0295367,0.0611977
0.235856,0.0325549,0.0631508
0.259212,0.0258946,0.069647
0.295742,0.0357616,0.0655038
0.338621,0.0302241,0.0708749
0.342086,0.0308571,0.0746571
0.334741,0.0327221,0.0802564
0.335264,0.0312769,0.0807447
0.361478,0.0345471,0.08109
0.345027,0.0373042,0.0849036
0.37918,0.0296124,0.0956291
0.380389,0.027504,0.0991502
0.386172,0.0228801,0.10772
0.373419,0.0258306,0.108065
0.404924,0.0198262,0.113832
0.408194,0.0340723,0.112986
0.421457,0.0493477,0.104543
0.426808,0.0443198,0.111148
0.439567,0.0424042,0.116662
0.450573,0.0353045,0.122164
0.465821,0.0426067,0.119874
0.487606,0.0473049,0.122316
0.496896,0.0533917,0.119346
0.50086,0.0494868,0.12505
0.511195,0.0573092,0.122709
0.541521,0.0587291,0.124751
0.549346,0.0622788,0.125442
0.579423,0.0756286,0.121102
0.588963,0.0782397,0.120613
0.59596,0.0844883,0.117917
0.602623,0.0849854,0.121554
0.623557,0.0816662,0.123137
0.638787,0.08397,0.120147
0.640565,0.0990756,0.115553
0.676527,0.0885202,0.121034
0.698354,0.0991294,0.115608
0.722978,0.0981004,0.115119
0.721139,0.100201,0.114631
0.741878,0.107512,0.108823
0.784558,0.112635,0.10544
0.815845,0.119017,0.102146
0.844832,0.117705,0.103182
0.875349,0.139438,0.0924288
0.907073,0.134269,0.0950355
0.944676,0.138737,0.0934533
0.961641,0.148251,0.088834
0.990861,0.147957,0.0873691
1.01474,0.142416,0.0896332
1.02996,0.144948,0.0889426
1.02967,0.144259,0.0889426
1.03791,0.151882,0.0822477
1.07646,0.151358,0.0830934
1.10076,0.152764,0.0838654
1.10814,0.154702,0.0789219
1.13015,0.16251,0.0760958
1.16657,0.157278,0.0760958
1.19787,0.16661,0.0729503
1.25328,0.170044,0.0719737
1.2906,0.17452,0.0690644
1.314,0.180167,0.068151
1.32496,0.175219,0.0671744
1.35084,0.190411,0.0602777
1.40258,0.192954,0.060766
1.42155,0.184383,0.0637561
1.45489,0.186524,0.0659123
1.47939,0.193084,0.0634708
1.49348,0.186168,0.0682049
1.54099,0.184177,0.0709235
